desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
313 - Rua Frei Francisco Foreiro / Rua de Arroios,7,7,2022-03-08,03:27:24.,2022-03-08 03:27:24,-9.135956,38.728049
221-Rua do Crucifixo/Rua São Nicolau,7,8,2022-03-08,03:27:25.,2022-03-08 03:27:25,-9.138828,38.710191
556 - Alamedas das Linhas de Torres / Estrada da T,11,0,2022-03-08,03:27:32.,2022-03-08 03:27:32,-9.161462,38.773489
481 - Campo Grande / Museu da Cidade,6,14,2022-03-08,03:27:32.,2022-03-08 03:27:32,-9.156169,38.758207
552 - Alameda das Linhas de Torres / Hospital Puli,12,0,2022-03-08,03:27:32.,2022-03-08 03:27:32,-9.157335,38.766075
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,13,6,2022-03-08,03:27:28.,2022-03-08 03:27:28,-9.151,"38.735 ""ty"
403 - Av. Fontes Pereira de Melo,2,18,2022-03-08,03:27:26.,2022-03-08 03:27:26,-9.146522,38.731698
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,12,4,2022-03-08,03:27:26.,2022-03-08 03:27:26,-9.1546,38.73448 
406 - Praça Duque de Saldanha,2,15,2022-03-08,03:27:26.,2022-03-08 03:27:26,-9.145341,38.734247
484 - Rua Professor Vieira de Almeida,22,0,2022-03-08,03:27:26.,2022-03-08 03:27:26,-9.16658,38.76081
427 - Av. República / Av. Visconde Valmor,0,12,2022-03-08,03:27:27.,2022-03-08 03:27:27,-9.14617,38.73812
133 - Rua Cidade de Benguela / Avenida Cidade de L,7,11,2022-03-08,03:27:30.,2022-03-08 03:27:30,-9.110724,38.76503]
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,9,5,2022-03-08,03:27:31.,2022-03-08 03:27:31,-9.150085,38.746836
461 - Rua Professora Teresa Ambrósio,0,32,2022-03-08,03:27:29.,2022-03-08 03:27:29,-9.155564,38.749141
487 - Rua Professor João Barreira,14,0,2022-03-08,03:27:34.,2022-03-08 03:27:34,-9.17096,38.76136
306 - Avenida da Liberdade / Rua Alexandre Herculano,0,16,2022-03-08,03:27:35.,2022-03-08 03:27:35,-9.14854,38.72281
305 - Avenida da Liberdade / Rua Barata Salgueiro,4,12,2022-03-08,03:27:36.,2022-03-08 03:27:36,-9.147,"38.72228 """
114 - Via do Oriente,3,7,2022-03-08,03:27:27.,2022-03-08 03:27:27,-9.09974,38.78836
407 - Praça Duque de Saldanha,0,17,2022-03-08,03:27:27.,2022-03-08 03:27:27,-9.14446,38.73434
554 - Alameda das Linhas de Torres / Rua Ladislau,21,6,2022-03-08,03:27:27.,2022-03-08 03:27:27,-9.158298,38.768683
485 - Rua Tomás da Fonseca / Rua António Albino Machado,10,0,2022-03-08,03:27:27.,2022-03-08 03:27:27,-9.17,"38.756 ""typ"
