desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
103 - Jardim da Água,17,3,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.095019,38.761218
308 - Marquês de Pombal,6,5,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.14969,38.7246 
102 - Porta do Mar,5,9,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.096439,38.759156
474 - Av. do Brasil / Av. Rio de Janeiro,6,10,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.1409,38.75832 
479 - Rua Professor Oliveira Marques,5,9,2022-02-12,18:41:44.,2022-02-12 18:41:44,-9.15724,38.75491
107 - Rotunda dos Vice-Reis,4,10,2022-02-12,18:41:44.,2022-02-12 18:41:44,-9.095416,38.774505
113 - Alameda dos Oceanos/ Passeio do Levante,12,2,2022-02-12,18:41:44.,2022-02-12 18:41:44,-9.09825,38.78414
554 - Alameda das Linhas de Torres / Rua Ladislau,17,10,2022-02-12,18:41:44.,2022-02-12 18:41:44,-9.158298,38.768683
309 - Rua da Palma,1,9,2022-02-12,18:41:49.,2022-02-12 18:41:49,-9.13577,38.71901
305 - Avenida da Liberdade / Rua Barata Salgueiro,6,10,2022-02-12,18:41:50.,2022-02-12 18:41:50,-9.147,"38.72228 """
487 - Rua Professor João Barreira,5,9,2022-02-12,18:41:48.,2022-02-12 18:41:48,-9.17096,38.76136
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,3,7,2022-02-12,18:41:42.,2022-02-12 18:41:42,-9.136681,38.747751
461 - Rua Professora Teresa Ambrósio,20,12,2022-02-12,18:41:45.,2022-02-12 18:41:45,-9.155564,38.749141
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,14,6,2022-02-12,18:41:45.,2022-02-12 18:41:45,-9.12769,38.71035
133 - Rua Cidade de Benguela / Avenida Cidade de L,11,7,2022-02-12,18:41:47.,2022-02-12 18:41:47,-9.110724,38.76503]
432 - Praça de Londres,5,5,2022-02-12,18:41:47.,2022-02-12 18:41:47,-9.1377,"38.7407 """
220 - Rua do Comercio,2,18,2022-02-12,18:41:41.,2022-02-12 18:41:41,-9.137125,38.70878]
480 - Faculdade de Ciências,14,11,2022-02-12,18:41:50.,2022-02-12 18:41:50,-9.15503,38.75587
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,7,3,2022-02-12,18:41:51.,2022-02-12 18:41:51,-9.15425,38.73432
475 - Av. Professor Gama Pinto / Cantina Velha,14,27,2022-02-12,18:41:42.,2022-02-12 18:41:42,-9.15907,38.75115
104 - Gare do Oriente,14,26,2022-02-12,18:41:42.,2022-02-12 18:41:42,-9.097322,38.766716
551 - Rua Francisco Stromp / Alameda das Linhas de,4,16,2022-02-12,18:41:44.,2022-02-12 18:41:44,-9.157235,38.762584
316 - Rua António Pedro / Rua Pascoal de Melo,3,11,2022-02-12,18:41:41.,2022-02-12 18:41:41,-9.135356,38.731424
464 - Av. da Igreja / Rua Afonso Lopes Vieira,1,13,2022-02-12,18:41:46.,2022-02-12 18:41:46,-9.148427,38.75165]
307 - Marquês de Pombal,11,22,2022-02-12,18:41:47.,2022-02-12 18:41:47,-9.149334,38.724954
431 - Rua do Arco Cego / Av. Magalhães Lima,7,7,2022-02-12,18:41:47.,2022-02-12 18:41:47,-9.14199,38.73937
216 - Praça D. Luís I,4,17,2022-02-12,18:41:47.,2022-02-12 18:41:47,-9.14655,38.70663
203 - Padrão dos Descobrimentos,19,3,2022-02-12,18:41:48.,2022-02-12 18:41:48,-9.20633,38.6935 
478 - Alameda da Universidade / Faculdade de Letras,16,16,2022-02-12,18:41:51.,2022-02-12 18:41:51,-9.15717,38.75359
481 - Campo Grande / Museu da Cidade,14,6,2022-02-12,18:41:51.,2022-02-12 18:41:51,-9.156169,38.758207
415 - Av. Duque de Ávila / Av. Conde Valbom,5,15,2022-02-12,18:41:52.,2022-02-12 18:41:52,-9.148443,38.735188
471 - Rua Lopes de Mendonça / EB São João de Brito,2,8,2022-02-12,18:41:48.,2022-02-12 18:41:48,-9.137337,38.756487
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,1,16,2022-02-12,18:41:48.,2022-02-12 18:41:48,-9.111745,38.769665
457 - Rua Aboim Ascensão,1,9,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.14722,38.74975
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,0,20,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.141741,38.751481
106 - Jardim Garcia da Orta,7,7,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.092506,38.769459
112 - Alameda dos Oceanos / Passeio das Garças,6,8,2022-02-12,18:41:43.,2022-02-12 18:41:43,-9.09622,38.78069
421 - Alameda D. Afonso Henriques,2,18,2022-02-12,18:41:45.,2022-02-12 18:41:45,-9.13416,38.73736
109 - Alameda dos Oceanos / Rua Ilha dos Amores,7,7,2022-02-12,18:41:45.,2022-02-12 18:41:45,-9.094672,38.777589
427 - Av. República / Av. Visconde Valmor,8,4,2022-02-12,18:41:46.,2022-02-12 18:41:46,-9.14617,38.73812
417 - Av. Duque de Ávila / Jardim Arco Do Cego,3,20,2022-02-12,18:41:44.,2022-02-12 18:41:44,-9.142703,38.735352
108 - Rua do Bojador,11,3,2022-02-12,18:41:45.,2022-02-12 18:41:45,-9.09235,38.774289]
223 - Praça do Rossio,16,5,2022-02-12,18:41:41.,2022-02-12 18:41:41,-9.138952,38.713112
314 - Rua Marques da Silva / Rua António Pedro,5,7,2022-02-12,18:41:41.,2022-02-12 18:41:41,-9.135675,38.729657
442 - Campo Pequeno,10,6,2022-02-12,18:41:49.,2022-02-12 18:41:49,-9.14523,38.743371]
552 - Alameda das Linhas de Torres / Hospital Puli,2,10,2022-02-12,18:41:50.,2022-02-12 18:41:50,-9.157335,38.766075
