id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
388,388,109 - Alameda dos Oceanos / Rua Ilha dos Amores,B,11,14,0.79,repair,2023-04-20 01:45:45,"-9.094672, 38.777589, -9.094672, 38.777589",1,2023-04-20,-9.094672,38.777589
210,210,238 - Rua de Cascais / Alcântara Mar,A,0,0,0.0,repair,2022-04-07 11:56:26,"-9.175234, 38.702936, -9.175234, 38.702936",11,2022-04-07,-9.175234,38.702936
351,351,352 - Rua Tomás da Anunciação / Rua Almeida e S.,,0,17,0.0,repair,2022-07-13 15:45:51,"-9.165653, 38.717313, -9.165653, 38.717313",15,2022-07-13,-9.165653,38.717313
104,104,104 - Gare do Oriente,A,4,40,0.1,active,2023-12-05 17:35:08,"-9.097322, 38.766716, -9.097322, 38.766716",17,2023-12-05,-9.097322,38.766716
106,106,106 - Jardim Garcia da Orta,B,5,14,0.36,active,2023-12-05 17:35:10,"-9.092506, 38.769459, -9.092506, 38.769459",17,2023-12-05,-9.092506,38.769459
457,457,457 - Rua Aboim Ascensão,B,5,10,0.5,active,2023-12-05 17:35:12,"-9.14722, 38.74975, -9.14722, 38.74975",17,2023-12-05,-9.14722,38.74975
430,430,430 - Av. Barbosa Du Bocage / Rua Arco do Cego,B,17,20,0.85,active,2023-12-05 17:35:14,"-9.14329, 38.74081, -9.14329, 38.74081",17,2023-12-05,-9.14329,38.74081
115,115,115 - Passeio dos Heróis do Mar / Rua Capitão Cook,A,4,29,0.14,active,2023-12-05 17:35:24,"-9.09781, 38.793, -9.09781, 38.793",17,2023-12-05,-9.09781,38.793
484,484,484 - Rua Professor Vieira de Almeida,A,9,22,0.41,active,2023-12-05 17:35:25,"-9.16658, 38.76081, -9.16658, 38.76081",17,2023-12-05,-9.16658,38.76081
113,113,113 - Alameda dos Oceanos/ Passeio do Levante,B,6,14,0.43,active,2023-12-05 17:35:33,"-9.09825, 38.78414, -9.09825, 38.78414",17,2023-12-05,-9.09825,38.78414
461,461,461 - Rua Professora Teresa Ambrósio,B,20,32,0.63,active,2023-12-05 17:35:36,"-9.155564, 38.749141, -9.155564, 38.749141",17,2023-12-05,-9.155564,38.749141
237,237,237 - Avenida da India / Praca das Industrias,A,24,30,0.8,active,2023-12-05 17:35:53,"-9.182262, 38.699093, -9.182262, 38.699093",17,2023-12-05,-9.182262,38.699093
105,105,105 - CC Vasco da Gama,A,10,40,0.25,active,2023-12-05 17:35:09,"-9.096222, 38.768548, -9.096222, 38.768548",17,2023-12-05,-9.096222,38.768548
107,107,107 - Rotunda dos Vice-Reis,B,4,14,0.29,active,2023-12-05 17:35:11,"-9.095416, 38.774505, -9.095416, 38.774505",17,2023-12-05,-9.095416,38.774505
431,431,431 - Rua do Arco Cego / Av. Magalhães Lima,B,12,14,0.86,active,2023-12-05 17:35:14,"-9.14199, 38.73937, -9.14199, 38.73937",17,2023-12-05,-9.14199,38.73937
426,426,426 - Av. Elias Garcia / Av. 5 de Outubro,B,12,14,0.86,active,2023-12-05 17:35:15,"-9.14793, 38.739046, -9.14793, 38.739046",17,2023-12-05,-9.14793,38.739046
421,421,421 - Alameda D. Afonso Henriques,A,12,20,0.6,active,2023-12-05 17:35:24,"-9.13416, 38.73736, -9.13416, 38.73736",17,2023-12-05,-9.13416,38.73736
485,485,485 - Rua Tomás da Fonseca / Rua António Albino Machado,B,4,10,0.4,active,2023-12-05 17:35:25,"-9.17, 38.756, -9.17, 38.756",17,2023-12-05,-9.17,38.756
478,478,478 - Alameda da Universidade / Faculdade de Letras,B,21,32,0.66,active,2023-12-05 17:35:37,"-9.15717, 38.75359, -9.15717, 38.75359",17,2023-12-05,-9.15717,38.75359
519,519,519 - Rua Prof. Pulido Valente / Rua Prof. Mário ,A,1,25,0.04,active,2023-12-05 17:35:50,"-9.1691, 38.763204, -9.1691, 38.763204",17,2023-12-05,-9.1691,38.763204
435,435,435 - Interface de Sete Rios,A,21,43,0.49,active,2023-12-05 17:35:54,"-9.166955, 38.740579, -9.166955, 38.740579",17,2023-12-05,-9.166955,38.740579
101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,9,16,0.56,active,2023-12-05 17:35:09,"-9.096804, 38.756161, -9.096804, 38.756161",17,2023-12-05,-9.096804,38.756161
108,108,108 - Rua do Bojador,B,2,14,0.14,active,2023-12-05 17:35:11,"-9.09235, 38.774289, -9.09235, 38.774289",17,2023-12-05,-9.09235,38.774289
412,412,412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,10,16,0.63,active,2023-12-05 17:35:14,"-9.1546, 38.73448, -9.1546, 38.73448",17,2023-12-05,-9.1546,38.73448
449,449,449 - Av. 5 de Outubro / Rua da Cruz Vermelha,B,6,14,0.43,active,2023-12-05 17:35:15,"-9.150085, 38.746836, -9.150085, 38.746836",17,2023-12-05,-9.150085,38.746836
420,420,420 - Av. Rovisco Pais / Av. Manuel da Maia,B,11,26,0.42,active,2023-12-05 17:35:25,"-9.13672, 38.73617, -9.13672, 38.73617",17,2023-12-05,-9.13672,38.73617
309,309,309 - Rua da Palma,B,7,10,0.7,active,2023-12-05 17:35:26,"-9.13577, 38.71901, -9.13577, 38.71901",17,2023-12-05,-9.13577,38.71901
477,477,477 - Alameda da Universidade / Faculdade de Direito,B,14,24,0.58,active,2023-12-05 17:35:37,"-9.15671, 38.75264, -9.15671, 38.75264",17,2023-12-05,-9.15671,38.75264
507,507,507 - Rua José dos Santos Pereira / Rua Conde de Almoster,A,2,17,0.12,active,2023-12-05 17:35:51,"-9.193024, 38.744727, -9.193024, 38.744727",17,2023-12-05,-9.193024,38.744727
503,503,503 - Rua Conde de Almoster / Rua Carlos Pereira,A,5,12,0.42,active,2023-12-05 17:35:57,"-9.178764, 38.74266, -9.178764, 38.74266",17,2023-12-05,-9.178764,38.74266
102,102,102 - Porta do Mar,B,13,14,0.93,active,2023-12-05 17:35:10,"-9.096439, 38.759156, -9.096439, 38.759156",17,2023-12-05,-9.096439,38.759156
110,110,110 - Rua de Moscavide,B,8,18,0.44,active,2023-12-05 17:35:11,"-9.097068, 38.778466, -9.097068, 38.778466",17,2023-12-05,-9.097068,38.778466
442,442,442 - Campo Pequeno,A,14,16,0.88,active,2023-12-05 17:35:14,"-9.14523, 38.743371, -9.14523, 38.743371",17,2023-12-05,-9.14523,38.743371
417,417,417 - Av. Duque de Ávila / Jardim Arco Do Cego,A,18,23,0.78,active,2023-12-05 17:35:18,"-9.142703, 38.735352, -9.142703, 38.735352",17,2023-12-05,-9.142703,38.735352
219,219,219 - Praça do Município,A,0,22,0.0,active,2023-12-05 17:35:26,"-9.13951, 38.70797, -9.13951, 38.70797",17,2023-12-05,-9.13951,38.70797
306,306,306 - Avenida da Liberdade / Rua Alexandre Herculano,A,11,16,0.69,active,2023-12-05 17:35:26,"-9.14854, 38.72281, -9.14854, 38.72281",17,2023-12-05,-9.14854,38.72281
556,556,556 - Alamedas das Linhas de Torres / Estrada da T,A,2,11,0.18,active,2023-12-05 17:35:40,"-9.161462, 38.773489, -9.161462, 38.773489",17,2023-12-05,-9.161462,38.773489
514,514,514 - Avenida do Colegio Militar / Rua Adelaide Cabete,A,9,17,0.53,active,2023-12-05 17:35:52,"-9.185588, 38.75736, -9.185588, 38.75736",17,2023-12-05,-9.185588,38.75736
232,232,232 - Avenida da Índia / Centro de Arqueologia de Lisboa,A,0,22,0.0,repair,2023-12-05 17:35:58,"-9.212149, 38.694155, -9.212149, 38.694155",17,2023-12-05,-9.212149,38.694155
103,103,103 - Jardim da Água,B,13,20,0.65,active,2023-12-05 17:35:10,"-9.095019, 38.761218, -9.095019, 38.761218",17,2023-12-05,-9.095019,38.761218
452,452,452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,B,4,10,0.4,active,2023-12-05 17:35:11,"-9.136681, 38.747751, -9.136681, 38.747751",17,2023-12-05,-9.136681,38.747751
450,450,450 - Rua Alfredo Cortês,B,5,10,0.5,active,2023-12-05 17:35:16,"-9.14399, 38.74626, -9.14399, 38.74626",17,2023-12-05,-9.14399,38.74626
304,304,304 - Avenida da Liberdade / São Jorge,A,2,16,0.13,active,2023-12-05 17:35:26,"-9.14637, 38.72026, -9.14637, 38.72026",17,2023-12-05,-9.14637,38.72026
486,486,486 - Rua Hermano Neves / Rua José Escada,B,6,14,0.43,active,2023-12-05 17:35:27,"-9.16985, 38.75954, -9.16985, 38.75954",17,2023-12-05,-9.16985,38.75954
135,135,135 - Avenida Cidade de Lourenço Marques / Vale do,A,2,20,0.1,active,2023-12-05 17:35:42,"-9.118689, 38.764067, -9.118689, 38.764067",17,2023-12-05,-9.118689,38.764067
521,521,521 - Rua César de Oliveira / Rua Fernando Lopes Graça,A,16,22,0.73,active,2023-12-05 17:35:53,"-9.17386, 38.769044, -9.17386, 38.769044",17,2023-12-05,-9.17386,38.769044
481,481,481 - Campo Grande / Museu da Cidade,B,3,20,0.15,active,2023-12-05 17:35:12,"-9.156169, 38.758207, -9.156169, 38.758207",17,2023-12-05,-9.156169,38.758207
460,460,460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,B,9,15,0.6,active,2023-12-05 17:35:17,"-9.13749, 38.75176, -9.13749, 38.75176",17,2023-12-05,-9.13749,38.75176
305,305,305 - Avenida da Liberdade / Rua Barata Salgueiro,A,2,16,0.13,active,2023-12-05 17:35:26,"-9.147, 38.72228, -9.147, 38.72228",17,2023-12-05,-9.147,38.72228
488,488,488 - Rua Fernando Namora / Rua António Quadros,B,5,20,0.25,active,2023-12-05 17:35:27,"-9.17526, 38.76014, -9.17526, 38.76014",17,2023-12-05,-9.17526,38.76014
314,314,314 - Rua Marques da Silva / Rua António Pedro,A,3,12,0.25,active,2023-12-05 17:35:44,"-9.135675, 38.729657, -9.135675, 38.729657",17,2023-12-05,-9.135675,38.729657
231,231,231 - Largo Luís Alves Miguel / Rua Fernão Mendes Pinto,A,0,11,0.0,repair,2023-12-05 17:35:59,"-9.219675, 38.695342, -9.219675, 38.695342",17,2023-12-05,-9.219675,38.695342
464,464,464 - Av. da Igreja / Rua Afonso Lopes Vieira,B,4,14,0.29,active,2023-12-05 17:35:12,"-9.148427, 38.75165, -9.148427, 38.75165",17,2023-12-05,-9.148427,38.75165
472,472,472 - Rua Marquês Soveral / ES Padre António Vieira,B,8,14,0.57,active,2023-12-05 17:35:17,"-9.13608, 38.75784, -9.13608, 38.75784",17,2023-12-05,-9.13608,38.75784
487,487,487 - Rua Professor João Barreira,B,4,14,0.29,active,2023-12-05 17:35:27,"-9.17096, 38.76136, -9.17096, 38.76136",17,2023-12-05,-9.17096,38.76136
307,307,307 - Marquês de Pombal,A,6,33,0.18,active,2023-12-05 17:35:27,"-9.149334, 38.724954, -9.149334, 38.724954",17,2023-12-05,-9.149334,38.724954
366,366,366 - Palacio da justiça,A,14,30,0.47,active,2023-12-05 17:35:46,"-9.156435, 38.731134, -9.156435, 38.731134",17,2023-12-05,-9.156435,38.731134
241,241,241 - Largo Luís Alves Miguel / Rua Fernão Mendes Pinto,A,0,11,0.0,repair,2023-12-05 17:35:59,"-9.214902, 38.694942, -9.214902, 38.694942",17,2023-12-05,-9.214902,38.694942
414,414,414 - Av. Duque de Ávila / Rua Pinheiro Chagas,B,11,19,0.58,active,2023-12-05 17:35:13,"-9.151, 38.735, -9.151, 38.735",17,2023-12-05,-9.151,38.735
413,413,413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,7,10,0.7,active,2023-12-05 17:35:18,"-9.15425, 38.73432, -9.15425, 38.73432",17,2023-12-05,-9.15425,38.73432
308,308,308 - Marquês de Pombal,A,4,11,0.36,active,2023-12-05 17:35:28,"-9.14969, 38.7246, -9.14969, 38.7246",17,2023-12-05,-9.14969,38.7246
443,443,443 - Av. de Roma / Fórum Lisboa,B,12,14,0.86,active,2023-12-05 17:35:28,"-9.13866, 38.74351, -9.13866, 38.74351",17,2023-12-05,-9.13866,38.74351
511,511,511 - Avenida do Uruguai,A,7,27,0.26,active,2023-12-05 17:35:56,"-9.196294, 38.753789, -9.196294, 38.753789",17,2023-12-05,-9.196294,38.753789
468,468,468 - Largo Frei Heitor Pinto,B,14,21,0.67,active,2023-12-05 17:35:13,"-9.13827, 38.75482, -9.13827, 38.75482",17,2023-12-05,-9.13827,38.75482
453,453,453 - Av. Roma / Av. EUA,B,6,14,0.43,active,2023-12-05 17:35:19,"-9.14207, 38.74873, -9.14207, 38.74873",17,2023-12-05,-9.14207,38.74873
114,114,114 - Via do Oriente,B,2,10,0.2,active,2023-12-05 17:35:28,"-9.09974, 38.78836, -9.09974, 38.78836",17,2023-12-05,-9.09974,38.78836
224,224,224 - Martim Moniz,A,4,22,0.18,active,2023-12-05 17:35:28,"-9.13651, 38.71498, -9.13651, 38.71498",17,2023-12-05,-9.13651,38.71498
415,415,415 - Av. Duque de Ávila / Av. Conde Valbom,B,11,20,0.55,active,2023-12-05 17:35:17,"-9.148443, 38.735188, -9.148443, 38.735188",17,2023-12-05,-9.148443,38.735188
473,473,473 - Av. do Brasil / Av. de Roma,B,2,14,0.14,active,2023-12-05 17:35:19,"-9.14697, 38.75643, -9.14697, 38.75643",17,2023-12-05,-9.14697,38.75643
225,225,225 - Martim Moniz,A,5,16,0.31,active,2023-12-05 17:35:29,"-9.13694, 38.71526, -9.13694, 38.71526",17,2023-12-05,-9.13694,38.71526
212,212,212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,B,14,20,0.7,active,2023-12-05 17:35:29,"-9.12769, 38.71035, -9.12769, 38.71035",17,2023-12-05,-9.12769,38.71035
