desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,3,17,2022-03-15,09:33:53.,2022-03-15 09:33:53,-9.12769,38.71035
130 - Avenida Berlim / Rua Américo Jesus Fernandes,4,16,2022-03-15,09:33:54.,2022-03-15 09:33:54,-9.106858,38.767761
311 - Avenida Almirante Reis Nº14,0,11,2022-03-15,09:33:55.,2022-03-15 09:33:55,-9.135295,38.721721
221-Rua do Crucifixo/Rua São Nicolau,4,11,2022-03-15,09:33:55.,2022-03-15 09:33:55,-9.138828,38.710191
222 - Praça da Figueira,11,19,2022-03-15,09:33:52.,2022-03-15 09:33:52,-9.13828,38.71383
433 - Av. Paris / Av. Almirante Reis,2,12,2022-03-15,09:33:57.,2022-03-15 09:33:57,-9.13409,38.74095
442 - Campo Pequeno,4,12,2022-03-15,09:33:54.,2022-03-15 09:33:54,-9.14523,38.743371]
203 - Padrão dos Descobrimentos,13,9,2022-03-15,09:33:54.,2022-03-15 09:33:54,-9.20633,38.6935 
479 - Rua Professor Oliveira Marques,13,1,2022-03-15,09:33:57.,2022-03-15 09:33:57,-9.15724,38.75491
208 - Cais das Pombas,2,20,2022-03-15,09:33:45.,2022-03-15 09:33:45,-9.14373,38.70523
463 - Campo Grande / Av. da Igreja,3,7,2022-03-15,09:33:45.,2022-03-15 09:33:45,-9.14951,38.75243
107 - Rotunda dos Vice-Reis,2,12,2022-03-15,09:33:45.,2022-03-15 09:33:45,-9.095416,38.774505
112 - Alameda dos Oceanos / Passeio das Garças,3,11,2022-03-15,09:33:45.,2022-03-15 09:33:45,-9.09622,38.78069
304 - Avenida da Liberdade / São Jorge,11,5,2022-03-15,09:33:46.,2022-03-15 09:33:46,-9.14637,38.72026
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,7,13,2022-03-15,09:33:44.,2022-03-15 09:33:44,-9.141741,38.751481
484 - Rua Professor Vieira de Almeida,2,20,2022-03-15,09:33:44.,2022-03-15 09:33:44,-9.16658,38.76081
417 - Av. Duque de Ávila / Jardim Arco Do Cego,18,5,2022-03-15,09:33:42.,2022-03-15 09:33:42,-9.142703,38.735352
102 - Porta do Mar,4,10,2022-03-15,09:33:43.,2022-03-15 09:33:43,-9.096439,38.759156
306 - Avenida da Liberdade / Rua Alexandre Herculano,8,8,2022-03-15,09:33:47.,2022-03-15 09:33:47,-9.14854,38.72281
220 - Rua do Comercio,3,17,2022-03-15,09:33:42.,2022-03-15 09:33:42,-9.137125,38.70878]
416 - Av. República / Avenida Duque de Ávila,7,9,2022-03-15,09:33:42.,2022-03-15 09:33:42,-9.14553,38.735304]
308 - Marquês de Pombal,10,1,2022-03-15,09:33:42.,2022-03-15 09:33:42,-9.14969,38.7246 
108 - Rua do Bojador,10,4,2022-03-15,09:33:45.,2022-03-15 09:33:45,-9.09235,38.774289]
480 - Faculdade de Ciências,24,1,2022-03-15,09:33:48.,2022-03-15 09:33:48,-9.15503,38.75587
408 - Praça Duque de Saldanha,8,2,2022-03-15,09:33:43.,2022-03-15 09:33:43,-9.144117,38.733749
446 - Av. República / Interface Entrecampos ,14,26,2022-03-15,09:33:46.,2022-03-15 09:33:46,-9.14773,38.74456
226 - Rua dos Fanqueiros,6,11,2022-03-15,09:33:49.,2022-03-15 09:33:49,-9.136456,38.711888
225 - Martim Moniz,6,10,2022-03-15,09:33:51.,2022-03-15 09:33:51,-9.13694,38.71526
468 - Largo Frei Heitor Pinto,11,10,2022-03-15,09:33:51.,2022-03-15 09:33:51,-9.13827,38.75482
419 - Av. António José de Almeida / Instituto Superior Técnico,22,3,2022-03-15,09:33:52.,2022-03-15 09:33:52,-9.13956,38.73811
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,4,12,2022-03-15,09:33:53.,2022-03-15 09:33:53,-9.1546,38.73448 
483 - Rua Professor Francisco Lucas Pires ,3,13,2022-03-15,09:33:53.,2022-03-15 09:33:53,-9.16405,38.75939
431 - Rua do Arco Cego / Av. Magalhães Lima,3,11,2022-03-15,09:33:53.,2022-03-15 09:33:53,-9.14199,38.73937
478 - Alameda da Universidade / Faculdade de Letras,16,16,2022-03-15,09:33:53.,2022-03-15 09:33:53,-9.15717,38.75359
151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,22,2,2022-03-15,09:33:54.,2022-03-15 09:33:54,-9.108728,38.770434
315 - Rua Passos Manuel/ Jardim Constantino,9,11,2022-03-15,09:33:55.,2022-03-15 09:33:55,-9.136968,38.731264
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,6,9,2022-03-15,09:33:56.,2022-03-15 09:33:56,-9.13749,38.75176
205 - Av. Brasília / Cordoaria,4,6,2022-03-15,09:33:54.,2022-03-15 09:33:54,-9.188,"38.697 ""ty"
218 - Cais do Sodré,8,14,2022-03-15,09:33:54.,2022-03-15 09:33:54,-9.14471,38.70617
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,3,16,2022-03-15,09:33:55.,2022-03-15 09:33:55,-9.151,"38.735 ""ty"
486 - Rua Hermano Neves / Rua José Escada,1,13,2022-03-15,09:33:47.,2022-03-15 09:33:47,-9.16985,38.75954
309 - Rua da Palma,2,8,2022-03-15,09:33:47.,2022-03-15 09:33:47,-9.13577,38.71901
206 - Av. Brasília / Doca de Alcântara,2,20,2022-03-15,09:33:53.,2022-03-15 09:33:53,-9.17502,38.70141
476 - Av. Professor Gama Pinto / Reitoria,8,15,2022-03-15,09:33:53.,2022-03-15 09:33:53,-9.15885,38.75231
