id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
221,221,221-Rua do Crucifixo/Rua São Nicolau,A,0,15,0.0,repair,2022-02-23 06:30:27,"-9.138828, 38.710191, -9.138828, 38.710191",6,2022-02-23,-9.138828,38.710191
151,151,151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,A,0,24,0.0,repair,2022-02-23 06:30:27,"-9.108728, 38.770434, -9.108728, 38.770434",6,2022-02-23,-9.108728,38.770434
101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,11,16,0.69,active,2022-02-23 06:30:02,"-9.096804, 38.756161, -9.096804, 38.756161",6,2022-02-23,-9.096804,38.756161
203,203,203 - Padrão dos Descobrimentos,A,11,22,0.5,active,2022-02-23 06:30:20,"-9.20633, 38.6935, -9.20633, 38.6935",6,2022-02-23,-9.20633,38.6935
102,102,102 - Porta do Mar,B,12,14,0.86,active,2022-02-23 06:30:02,"-9.096439, 38.759156, -9.096439, 38.759156",6,2022-02-23,-9.096439,38.759156
417,417,417 - Av. Duque de Ávila / Jardim Arco Do Cego,A,4,23,0.17,active,2022-02-23 06:30:08,"-9.142703, 38.735352, -9.142703, 38.735352",6,2022-02-23,-9.142703,38.735352
474,474,474 - Av. do Brasil / Av. Rio de Janeiro,A,8,16,0.5,active,2022-02-23 06:30:09,"-9.1409, 38.75832, -9.1409, 38.75832",6,2022-02-23,-9.1409,38.75832
421,421,421 - Alameda D. Afonso Henriques,A,20,20,1.0,active,2022-02-23 06:30:12,"-9.13416, 38.73736, -9.13416, 38.73736",6,2022-02-23,-9.13416,38.73736
309,309,309 - Rua da Palma,B,7,10,0.7,active,2022-02-23 06:30:13,"-9.13577, 38.71901, -9.13577, 38.71901",6,2022-02-23,-9.13577,38.71901
313,313,313 - Rua Frei Francisco Foreiro / Rua de Arroios,A,14,14,1.0,active,2022-02-23 06:30:26,"-9.135956, 38.728049, -9.135956, 38.728049",6,2022-02-23,-9.135956,38.728049
103,103,103 - Jardim da Água,B,16,20,0.8,active,2022-02-23 06:30:03,"-9.095019, 38.761218, -9.095019, 38.761218",6,2022-02-23,-9.095019,38.761218
307,307,307 - Marquês de Pombal,A,1,33,0.03,active,2022-02-23 06:30:14,"-9.149334, 38.724954, -9.149334, 38.724954",6,2022-02-23,-9.149334,38.724954
419,419,419 - Av. António José de Almeida / Instituto Superior Técnico,B,7,25,0.28,active,2022-02-23 06:30:16,"-9.13956, 38.73811, -9.13956, 38.73811",6,2022-02-23,-9.13956,38.73811
478,478,478 - Alameda da Universidade / Faculdade de Letras,B,5,32,0.16,active,2022-02-23 06:30:21,"-9.15717, 38.75359, -9.15717, 38.75359",6,2022-02-23,-9.15717,38.75359
311,311,311 - Avenida Almirante Reis Nº14,A,7,11,0.64,active,2022-02-23 06:30:26,"-9.135295, 38.721721, -9.135295, 38.721721",6,2022-02-23,-9.135295,38.721721
316,316,316 - Rua António Pedro / Rua Pascoal de Melo,A,14,14,1.0,active,2022-02-23 06:30:26,"-9.135356, 38.731424, -9.135356, 38.731424",6,2022-02-23,-9.135356,38.731424
104,104,104 - Gare do Oriente,A,3,40,0.08,active,2022-02-23 06:30:02,"-9.097322, 38.766716, -9.097322, 38.766716",6,2022-02-23,-9.097322,38.766716
423,423,423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,B,5,10,0.5,active,2022-02-23 06:30:09,"-9.152295, 38.737911, -9.152295, 38.737911",6,2022-02-23,-9.152295,38.737911
308,308,308 - Marquês de Pombal,A,1,11,0.09,active,2022-02-23 06:30:15,"-9.14969, 38.7246, -9.14969, 38.7246",6,2022-02-23,-9.14969,38.7246
401,401,401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,B,8,16,0.5,active,2022-02-23 06:30:17,"-9.14742, 38.72894, -9.14742, 38.72894",6,2022-02-23,-9.14742,38.72894
480,480,480 - Faculdade de Ciências,B,0,25,0.0,active,2022-02-23 06:30:21,"-9.15503, 38.75587, -9.15503, 38.75587",6,2022-02-23,-9.15503,38.75587
105,105,105 - CC Vasco da Gama,A,1,40,0.03,active,2022-02-23 06:30:02,"-9.096222, 38.768548, -9.096222, 38.768548",6,2022-02-23,-9.096222,38.768548
