desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
309 - Rua da Palma,3,7,2022-03-12,09:08:31.,2022-03-12 09:08:31,-9.13577,38.71901
478 - Alameda da Universidade / Faculdade de Letras,11,21,2022-03-12,09:08:31.,2022-03-12 09:08:31,-9.15717,38.75359
221-Rua do Crucifixo/Rua São Nicolau,6,9,2022-03-12,09:08:30.,2022-03-12 09:08:30,-9.138828,38.710191
463 - Campo Grande / Av. da Igreja,4,6,2022-03-12,09:08:38.,2022-03-12 09:08:38,-9.14951,38.75243
481 - Campo Grande / Museu da Cidade,3,17,2022-03-12,09:08:38.,2022-03-12 09:08:38,-9.156169,38.758207
139 - Rua Cidade de Bissau {Metro Olivais},5,20,2022-03-12,09:08:38.,2022-03-12 09:08:38,-9.111596,38.76134]
552 - Alameda das Linhas de Torres / Hospital Puli,12,0,2022-03-12,09:08:38.,2022-03-12 09:08:38,-9.157335,38.766075
468 - Largo Frei Heitor Pinto,9,12,2022-03-12,09:08:38.,2022-03-12 09:08:38,-9.13827,38.75482
427 - Av. República / Av. Visconde Valmor,4,8,2022-03-12,09:08:34.,2022-03-12 09:08:34,-9.14617,38.73812
407 - Praça Duque de Saldanha,4,13,2022-03-12,09:08:34.,2022-03-12 09:08:34,-9.14446,38.73434
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,6,4,2022-03-12,09:08:34.,2022-03-12 09:08:34,-9.15425,38.73432
415 - Av. Duque de Ávila / Av. Conde Valbom,7,13,2022-03-12,09:08:34.,2022-03-12 09:08:34,-9.148443,38.735188
456 - Entrecampos / Av. das Forças Armadas,32,9,2022-03-12,09:08:37.,2022-03-12 09:08:37,-9.14872,38.74877
307 - Marquês de Pombal,12,21,2022-03-12,09:08:32.,2022-03-12 09:08:32,-9.149334,38.724954
488 - Rua Fernando Namora / Rua António Quadros,11,9,2022-03-12,09:08:40.,2022-03-12 09:08:40,-9.17526,38.76014
226 - Rua dos Fanqueiros,8,9,2022-03-12,09:08:39.,2022-03-12 09:08:39,-9.136456,38.711888
304 - Avenida da Liberdade / São Jorge,6,10,2022-03-12,09:08:42.,2022-03-12 09:08:42,-9.14637,38.72026
554 - Alameda das Linhas de Torres / Rua Ladislau,14,13,2022-03-12,09:08:33.,2022-03-12 09:08:33,-9.158298,38.768683
214 - Largo de Santos,6,18,2022-03-12,09:08:33.,2022-03-12 09:08:33,-9.15424,38.70673
108 - Rua do Bojador,6,8,2022-03-12,09:08:34.,2022-03-12 09:08:34,-9.09235,38.774289]
416 - Av. República / Avenida Duque de Ávila,4,12,2022-03-12,09:08:34.,2022-03-12 09:08:34,-9.14553,38.735304]
432 - Praça de Londres,2,8,2022-03-12,09:08:36.,2022-03-12 09:08:36,-9.1377,"38.7407 """
132 - Avenida de Berlim / Rua Cidade de Cabinda,12,13,2022-03-12,09:08:37.,2022-03-12 09:08:37,-9.11255,38.76829
464 - Av. da Igreja / Rua Afonso Lopes Vieira,4,10,2022-03-12,09:08:38.,2022-03-12 09:08:38,-9.148427,38.75165]
556 - Alamedas das Linhas de Torres / Estrada da T,9,2,2022-03-12,09:08:38.,2022-03-12 09:08:38,-9.161462,38.773489
486 - Rua Hermano Neves / Rua José Escada,12,2,2022-03-12,09:08:39.,2022-03-12 09:08:39,-9.16985,38.75954
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,9,1,2022-03-12,09:08:37.,2022-03-12 09:08:37,-9.136681,38.747751
131 - Avenida de Berlim / Praça Baden Powell,4,17,2022-03-12,09:08:37.,2022-03-12 09:08:37,-9.110767,38.768137
109 - Alameda dos Oceanos / Rua Ilha dos Amores,8,6,2022-03-12,09:08:35.,2022-03-12 09:08:35,-9.094672,38.777589
206 - Av. Brasília / Doca de Alcântara,5,17,2022-03-12,09:08:35.,2022-03-12 09:08:35,-9.17502,38.70141
