desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
457 - Rua Aboim Ascensão,5,5,2022-02-09,17:59:53.,2022-02-09 17:59:53,-9.14722,38.74975
308 - Marquês de Pombal,4,7,2022-02-09,17:59:53.,2022-02-09 17:59:53,-9.14969,38.7246 
554 - Alameda das Linhas de Torres / Rua Ladislau,14,13,2022-02-09,17:59:56.,2022-02-09 17:59:56,-9.158298,38.768683
421 - Alameda D. Afonso Henriques,11,9,2022-02-09,17:59:56.,2022-02-09 17:59:56,-9.13416,38.73736
468 - Largo Frei Heitor Pinto,11,10,2022-02-09,17:59:57.,2022-02-09 17:59:57,-9.13827,38.75482
133 - Rua Cidade de Benguela / Avenida Cidade de L,9,9,2022-02-09,17:59:57.,2022-02-09 17:59:57,-9.110724,38.76503]
474 - Av. do Brasil / Av. Rio de Janeiro,4,12,2022-02-09,17:59:54.,2022-02-09 17:59:54,-9.1409,38.75832 
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,15,1,2022-02-09,17:59:54.,2022-02-09 17:59:54,-9.1546,38.73448 
314 - Rua Marques da Silva / Rua António Pedro,0,12,2022-02-09,17:59:52.,2022-02-09 17:59:52,-9.135675,38.729657
555 - Alameda das Linhas de Torres,0,33,2022-02-09,17:59:52.,2022-02-09 17:59:52,-9.160248,38.770657
315 - Rua Passos Manuel/ Jardim Constantino,3,17,2022-02-09,17:59:51.,2022-02-09 17:59:51,-9.136968,38.731264
471 - Rua Lopes de Mendonça / EB São João de Brito,7,3,2022-02-09,17:59:58.,2022-02-09 17:59:58,-9.137337,38.756487
431 - Rua do Arco Cego / Av. Magalhães Lima,2,12,2022-02-09,17:59:58.,2022-02-09 17:59:58,-9.14199,38.73937
205 - Av. Brasília / Cordoaria,6,4,2022-02-09,17:59:59.,2022-02-09 17:59:59,-9.188,"38.697 ""ty"
309 - Rua da Palma,8,2,2022-02-09,18:00:00.,2022-02-09 18:00:00,-9.13577,38.71901
550 - Rua Fernando Curado Ribeiro / Alameda das Li,10,10,2022-02-09,18:00:00.,2022-02-09 18:00:00,-9.156487,38.760871
406 - Praça Duque de Saldanha,6,11,2022-02-09,18:00:01.,2022-02-09 18:00:01,-9.145341,38.734247
478 - Alameda da Universidade / Faculdade de Letras,6,26,2022-02-09,18:00:01.,2022-02-09 18:00:01,-9.15717,38.75359
416 - Av. República / Avenida Duque de Ávila,3,13,2022-02-09,18:00:02.,2022-02-09 18:00:02,-9.14553,38.735304]
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,10,9,2022-02-09,18:00:02.,2022-02-09 18:00:02,-9.151,"38.735 ""ty"
420 - Av. Rovisco Pais / Av. Manuel da Maia,3,23,2022-02-09,18:00:02.,2022-02-09 18:00:02,-9.13672,38.73617
415 - Av. Duque de Ávila / Av. Conde Valbom,6,14,2022-02-09,18:00:04.,2022-02-09 18:00:04,-9.148443,38.735188
103 - Jardim da Água,5,15,2022-02-09,17:59:54.,2022-02-09 17:59:54,-9.095019,38.761218
131 - Avenida de Berlim / Praça Baden Powell,3,18,2022-02-09,17:59:56.,2022-02-09 17:59:56,-9.110767,38.768137
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,5,9,2022-02-09,17:59:56.,2022-02-09 17:59:56,-9.150085,38.746836
307 - Marquês de Pombal,8,25,2022-02-09,17:59:56.,2022-02-09 17:59:56,-9.149334,38.724954
305 - Avenida da Liberdade / Rua Barata Salgueiro,2,14,2022-02-09,18:00:00.,2022-02-09 18:00:00,-9.147,"38.72228 """
203 - Padrão dos Descobrimentos,6,16,2022-02-09,17:59:59.,2022-02-09 17:59:59,-9.20633,38.6935 
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,2,14,2022-02-09,18:00:01.,2022-02-09 18:00:01,-9.14742,38.72894
408 - Praça Duque de Saldanha,4,6,2022-02-09,18:00:02.,2022-02-09 18:00:02,-9.144117,38.733749
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,8,7,2022-02-09,17:59:55.,2022-02-09 17:59:55,-9.13749,38.75176
225 - Martim Moniz,7,9,2022-02-09,17:59:55.,2022-02-09 17:59:55,-9.13694,38.71526
426 - Av. Elias Garcia / Av. 5 de Outubro,3,11,2022-02-09,18:00:03.,2022-02-09 18:00:03,-9.14793,38.739046]
432 - Praça de Londres,4,6,2022-02-09,17:59:58.,2022-02-09 17:59:58,-9.1377,"38.7407 """
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,3,7,2022-02-09,17:59:52.,2022-02-09 17:59:52,-9.136681,38.747751
403 - Av. Fontes Pereira de Melo,1,19,2022-02-09,17:59:53.,2022-02-09 17:59:53,-9.146522,38.731698
139 - Rua Cidade de Bissau {Metro Olivais},0,25,2022-02-09,17:59:52.,2022-02-09 17:59:52,-9.111596,38.76134]
220 - Rua do Comercio,9,11,2022-02-09,17:59:52.,2022-02-09 17:59:52,-9.137125,38.70878]
110 - Rua de Moscavide,5,13,2022-02-09,17:59:52.,2022-02-09 17:59:52,-9.097068,38.778466
450 - Rua Alfredo Cortês,8,2,2022-02-09,17:59:52.,2022-02-09 17:59:52,-9.14399,38.74626
487 - Rua Professor João Barreira,7,7,2022-02-09,17:59:58.,2022-02-09 17:59:58,-9.17096,38.76136
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,3,14,2022-02-09,17:59:58.,2022-02-09 17:59:58,-9.111745,38.769665
488 - Rua Fernando Namora / Rua António Quadros,7,13,2022-02-09,17:59:58.,2022-02-09 17:59:58,-9.17526,38.76014
462 - Campo Grande / Biblioteca Nacional,13,16,2022-02-09,17:59:56.,2022-02-09 17:59:56,-9.15031,38.75027
218 - Cais do Sodré,6,16,2022-02-09,17:59:58.,2022-02-09 17:59:58,-9.14471,38.70617
475 - Av. Professor Gama Pinto / Cantina Velha,4,37,2022-02-09,17:59:53.,2022-02-09 17:59:53,-9.15907,38.75115
106 - Jardim Garcia da Orta,6,8,2022-02-09,17:59:53.,2022-02-09 17:59:53,-9.092506,38.769459
112 - Alameda dos Oceanos / Passeio das Garças,9,5,2022-02-09,17:59:54.,2022-02-09 17:59:54,-9.09622,38.78069
107 - Rotunda dos Vice-Reis,6,8,2022-02-09,17:59:55.,2022-02-09 17:59:55,-9.095416,38.774505
443 - Av. de Roma / Fórum Lisboa,9,5,2022-02-09,17:59:59.,2022-02-09 17:59:59,-9.13866,38.74351
552 - Alameda das Linhas de Torres / Hospital Puli,4,8,2022-02-09,18:00:00.,2022-02-09 18:00:00,-9.157335,38.766075
480 - Faculdade de Ciências,10,15,2022-02-09,18:00:02.,2022-02-09 18:00:02,-9.15503,38.75587
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,8,2,2022-02-09,18:00:03.,2022-02-09 18:00:03,-9.15425,38.73432
486 - Rua Hermano Neves / Rua José Escada,2,12,2022-02-09,18:00:04.,2022-02-09 18:00:04,-9.16985,38.75954
428 - Av. República / Avenida Barbosa Du Bocage,6,6,2022-02-09,17:59:57.,2022-02-09 17:59:57,-9.14684,38.74047
132 - Avenida de Berlim / Rua Cidade de Cabinda,6,19,2022-02-09,17:59:57.,2022-02-09 17:59:57,-9.11255,38.76829
215 - Av. 24 de Julho,9,8,2022-02-09,17:59:57.,2022-02-09 17:59:57,-9.14949,38.70662
