desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
415 - Av. Duque de Ávila / Av. Conde Valbom,1,19,2022-04-28,20:35:01.,2022-04-28 20:35:01,-9.148443,38.735188
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,3,7,2022-04-28,20:35:02.,2022-04-28 20:35:02,-9.15425,38.73432
108 - Rua do Bojador,2,12,2022-04-28,20:34:57.,2022-04-28 20:34:57,-9.09235,38.774289]
106 - Jardim Garcia da Orta,2,12,2022-04-28,20:34:57.,2022-04-28 20:34:57,-9.092506,38.769459
103 - Jardim da Água,8,12,2022-04-28,20:34:57.,2022-04-28 20:34:57,-9.095019,38.761218
109 - Alameda dos Oceanos / Rua Ilha dos Amores,12,2,2022-04-28,20:34:58.,2022-04-28 20:34:58,-9.094672,38.777589
221-Rua do Crucifixo / Rua São Nicolau,8,7,2022-04-28,20:34:58.,2022-04-28 20:34:58,-9.138828,38.710191
481 - Campo Grande / Museu da Cidade,4,16,2022-04-28,20:34:59.,2022-04-28 20:34:59,-9.156169,38.758207
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,12,0,2022-04-28,20:34:59.,2022-04-28 20:34:59,-9.09781,"38.793 """
304 - Avenida da Liberdade / São Jorge,1,15,2022-04-28,20:35:03.,2022-04-28 20:35:03,-9.14637,38.72026
131 - Avenida de Berlim / Praça Baden Powell,2,19,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.110767,38.768137
432 - Praça de Londres,6,4,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.1377,"38.7407 """
311 - Avenida Almirante Reis Nº14,7,4,2022-04-28,20:35:04.,2022-04-28 20:35:04,-9.135295,38.721721
218 - Cais do Sodré,8,14,2022-04-28,20:35:04.,2022-04-28 20:35:04,-9.14471,38.70617
310 - Rua Pina Manique / Largo do Intendente ,15,2,2022-04-28,20:35:04.,2022-04-28 20:35:04,-9.134847,38.720733
431 - Rua do Arco Cego / Av. Magalhães Lima,8,6,2022-04-28,20:35:00.,2022-04-28 20:35:00,-9.14199,38.73937
450 - Rua Alfredo Cortês,4,6,2022-04-28,20:35:00.,2022-04-28 20:35:00,-9.14399,38.74626
420 - Av. Rovisco Pais / Av. Manuel da Maia,4,22,2022-04-28,20:35:01.,2022-04-28 20:35:01,-9.13672,38.73617
102 - Porta do Mar,12,2,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.096439,38.759156
463 - Campo Grande / Av. da Igreja,0,10,2022-04-28,20:34:54.,2022-04-28 20:34:54,-9.14951,38.75243
366 - Palacio da justiça,0,30,2022-04-28,20:35:06.,2022-04-28 20:35:06,-9.156435,38.731134
410 - Rua da Mesquita / Universidade Nova de Lisboa,10,30,2022-04-28,20:35:07.,2022-04-28 20:35:07,-9.16015,38.73492
479 - Rua Professor Oliveira Marques,0,14,2022-04-28,20:35:07.,2022-04-28 20:35:07,-9.15724,38.75491
203 - Padrão dos Descobrimentos,9,13,2022-04-28,20:35:07.,2022-04-28 20:35:07,-9.20633,38.6935 
107 - Rotunda dos Vice-Reis,4,10,2022-04-28,20:34:57.,2022-04-28 20:34:57,-9.095416,38.774505
313 - Rua Frei Francisco Foreiro / Rua de Arroios,8,6,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.135956,38.728049
517 - Rua Padre Américo,0,20,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.180393,38.763414
553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,4,8,2022-04-28,20:34:54.,2022-04-28 20:34:54,-9.15535,38.767114]
518 - Avenida das Nações Unidas / Azinhaga da Torre do Fato,0,20,2022-04-28,20:34:56.,2022-04-28 20:34:56,-9.177955,38.764097
488 - Rua Fernando Namora / Rua António Quadros,14,6,2022-04-28,20:35:04.,2022-04-28 20:35:04,-9.17526,38.76014
130 - Avenida Berlim / Rua Américo Jesus Fernandes,10,10,2022-04-28,20:35:04.,2022-04-28 20:35:04,-9.106858,38.767761
307 - Marquês de Pombal,4,29,2022-04-28,20:35:03.,2022-04-28 20:35:03,-9.149334,38.724954
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,1,9,2022-04-28,20:35:03.,2022-04-28 20:35:03,-9.152295,38.737911
133 - Rua Cidade de Benguela / Avenida Cidade de L,5,13,2022-04-28,20:34:59.,2022-04-28 20:34:59,-9.110724,38.76503]
134 - Praça Cidade do Luso,12,8,2022-04-28,20:35:02.,2022-04-28 20:35:02,-9.116342,38.765588
132 - Avenida de Berlim / Rua Cidade de Cabinda,3,22,2022-04-28,20:35:02.,2022-04-28 20:35:02,-9.11255,38.76829
416 - Av. República / Avenida Duque de Ávila,1,15,2022-04-28,20:34:58.,2022-04-28 20:34:58,-9.14553,38.735304]
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,10,10,2022-04-28,20:34:59.,2022-04-28 20:34:59,-9.14329,38.74081
113 - Alameda dos Oceanos/ Passeio do Levante,11,3,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.09825,38.78414
205 - Av. Brasília / Cordoaria,4,6,2022-04-28,20:35:08.,2022-04-28 20:35:08,-9.188,"38.697 ""ty"
216 - Praça D. Luís I,11,10,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.14655,38.70663
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,10,6,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.17849,38.76026
419 - Av. António José de Almeida / Instituto Superior Técnico,1,24,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.13956,38.73811
486 - Rua Hermano Neves / Rua José Escada,3,11,2022-04-28,20:35:04.,2022-04-28 20:35:04,-9.16985,38.75954
224 - Martim Moniz,14,8,2022-04-28,20:35:04.,2022-04-28 20:35:04,-9.13651,38.71498
471 - Rua Lopes de Mendonça / EB São João de Brito,7,3,2022-04-28,20:34:59.,2022-04-28 20:34:59,-9.137337,38.756487
309 - Rua da Palma,7,3,2022-04-28,20:35:00.,2022-04-28 20:35:00,-9.13577,38.71901
223 - Praça do Rossio,10,11,2022-04-28,20:35:00.,2022-04-28 20:35:00,-9.138952,38.713112
555 - Alameda das Linhas de Torres,27,6,2022-04-28,20:35:06.,2022-04-28 20:35:06,-9.160248,38.770657
483 - Rua Professor Francisco Lucas Pires ,4,12,2022-04-28,20:35:06.,2022-04-28 20:35:06,-9.16405,38.75939
215 - Av. 24 de Julho,3,14,2022-04-28,20:35:06.,2022-04-28 20:35:06,-9.14949,38.70662
114 - Via do Oriente,5,5,2022-04-28,20:35:00.,2022-04-28 20:35:00,-9.09974,38.78836
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,6,14,2022-04-28,20:35:03.,2022-04-28 20:35:03,-9.141741,38.751481
472 - Rua Marquês Soveral / ES Padre António Vieira,7,7,2022-04-28,20:35:02.,2022-04-28 20:35:02,-9.13608,38.75784
206 - Av. Brasília / Doca de Alcântara,16,6,2022-04-28,20:35:08.,2022-04-28 20:35:08,-9.17502,38.70141
222 - Praça da Figueira,12,18,2022-04-28,20:35:07.,2022-04-28 20:35:07,-9.13828,38.71383
508 - Estação de Comboios de Benfica,0,25,2022-04-28,20:34:56.,2022-04-28 20:34:56,-9.200039,38.74473]
474 - Av. do Brasil / Av. Rio de Janeiro,5,11,2022-04-28,20:34:56.,2022-04-28 20:34:56,-9.1409,38.75832 
510 - Largo da Revista Militar / Avenida do Colégio Militar,0,17,2022-04-28,20:34:56.,2022-04-28 20:34:56,-9.189058,38.752892
362 - Avenida Eng. Duarte Pacheco,0,40,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.159469,38.72437]
442 - Campo Pequeno,5,11,2022-04-28,20:34:58.,2022-04-28 20:34:58,-9.14523,38.743371]
365 - Rua Castilho / Rua Marquês da Fronteira,0,30,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.157531,38.729724
475 - Av. Professor Gama Pinto / Cantina Velha,5,36,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.15907,38.75115
462 - Campo Grande / Biblioteca Nacional,4,25,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.15031,38.75027
238 - Rua de Cascais / Alcântara Mar,0,36,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.175234,38.702936
232 - Avenida da Índia / Centro de Arqueologia de Lisboa,0,22,2022-04-28,20:34:55.,2022-04-28 20:34:55,-9.212149,38.694155
238 - Rua de Cascais / Alcântara Mar,0,0,2022-04-28,20:34:56.,2022-04-28 20:34:56,-9.175234,38.702936
101 - Alameda dos Oceanos / Rua dos Argonautas,14,2,2022-04-28,20:34:56.,2022-04-28 20:34:56,-9.096804,38.756161
315 - Rua Passos Manuel/ Jardim Constantino,6,14,2022-04-28,20:34:57.,2022-04-28 20:34:57,-9.136968,38.731264
135 - Avenida Cidade de Lourenço Marques / Vale do,14,6,2022-04-28,20:35:01.,2022-04-28 20:35:01,-9.118689,38.764067
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,1,15,2022-04-28,20:35:01.,2022-04-28 20:35:01,-9.1546,38.73448 
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,3,14,2022-04-28,20:35:01.,2022-04-28 20:35:01,-9.111745,38.769665
550 - Rua Fernando Curado Ribeiro / Alameda das Li,4,16,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.156487,38.760871
556 - Alamedas das Linhas de Torres / Estrada da T,11,0,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.161462,38.773489
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,13,7,2022-04-28,20:35:05.,2022-04-28 20:35:05,-9.12769,38.71035
301 - Avenida da Liberdade / Restauradores,9,13,2022-04-28,20:34:58.,2022-04-28 20:34:58,-9.14242,38.71702
446 - Av. República / Interface Entrecampos ,8,32,2022-04-28,20:34:58.,2022-04-28 20:34:58,-9.14773,38.74456
427 - Av. República / Av. Visconde Valmor,5,7,2022-04-28,20:34:58.,2022-04-28 20:34:58,-9.14617,38.73812
