desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,6,9,2022-04-16,18:38:01.,2022-04-16 18:38:01,-9.13749,38.75176
226 - Rua dos Fanqueiros,7,6,2022-04-16,18:38:02.,2022-04-16 18:38:02,-9.136456,38.711888
420 - Av. Rovisco Pais / Av. Manuel da Maia,2,24,2022-04-16,18:38:02.,2022-04-16 18:38:02,-9.13672,38.73617
552 - Alameda das Linhas de Torres / Hospital Puli,7,5,2022-04-16,18:38:06.,2022-04-16 18:38:06,-9.157335,38.766075
476 - Av. Professor Gama Pinto / Reitoria,17,6,2022-04-16,18:38:08.,2022-04-16 18:38:08,-9.15885,38.75231
461 - Rua Professora Teresa Ambrósio,9,23,2022-04-16,18:38:08.,2022-04-16 18:38:08,-9.155564,38.749141
479 - Rua Professor Oliveira Marques,6,8,2022-04-16,18:38:09.,2022-04-16 18:38:09,-9.15724,38.75491
410 - Rua da Mesquita / Universidade Nova de Lisboa,26,14,2022-04-16,18:38:07.,2022-04-16 18:38:07,-9.16015,38.73492
104 - Gare do Oriente,16,24,2022-04-16,18:38:08.,2022-04-16 18:38:08,-9.097322,38.766716
473 - Av. do Brasil / Av. de Roma,3,11,2022-04-16,18:38:03.,2022-04-16 18:38:03,-9.14697,38.75643
114 - Via do Oriente,1,9,2022-04-16,18:38:00.,2022-04-16 18:38:00,-9.09974,38.78836
443 - Av. de Roma / Fórum Lisboa,4,10,2022-04-16,18:38:00.,2022-04-16 18:38:00,-9.13866,38.74351
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,9,7,2022-04-16,18:38:06.,2022-04-16 18:38:06,-9.17849,38.76026
446 - Av. República / Interface Entrecampos ,23,17,2022-04-16,18:37:58.,2022-04-16 18:37:58,-9.14773,38.74456
109 - Alameda dos Oceanos / Rua Ilha dos Amores,1,13,2022-04-16,18:37:58.,2022-04-16 18:37:58,-9.094672,38.777589
416 - Av. República / Avenida Duque de Ávila,3,13,2022-04-16,18:37:58.,2022-04-16 18:37:58,-9.14553,38.735304]
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,6,14,2022-04-16,18:37:59.,2022-04-16 18:37:59,-9.14329,38.74081
133 - Rua Cidade de Benguela / Avenida Cidade de L,3,15,2022-04-16,18:37:59.,2022-04-16 18:37:59,-9.110724,38.76503]
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,11,8,2022-04-16,18:37:59.,2022-04-16 18:37:59,-9.151,"38.735 ""ty"
553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,1,11,2022-04-16,18:37:55.,2022-04-16 18:37:55,-9.15535,38.767114]
362 - Avenida Eng. Duarte Pacheco,0,40,2022-04-16,18:37:55.,2022-04-16 18:37:55,-9.159469,38.72437]
238 - Rua de Cascais / Alcântara Mar,0,36,2022-04-16,18:37:55.,2022-04-16 18:37:55,-9.175234,38.702936
313 - Rua Frei Francisco Foreiro / Rua de Arroios,2,12,2022-04-16,18:37:55.,2022-04-16 18:37:55,-9.135956,38.728049
463 - Campo Grande / Av. da Igreja,3,7,2022-04-16,18:37:55.,2022-04-16 18:37:55,-9.14951,38.75243
365 - Rua Castilho / Rua Marquês da Fronteira,0,30,2022-04-16,18:37:55.,2022-04-16 18:37:55,-9.157531,38.729724
314 - Rua Marques da Silva / Rua António Pedro,0,12,2022-04-16,18:37:57.,2022-04-16 18:37:57,-9.135675,38.729657
103 - Jardim da Água,3,17,2022-04-16,18:37:57.,2022-04-16 18:37:57,-9.095019,38.761218
406 - Praça Duque de Saldanha,7,10,2022-04-16,18:37:56.,2022-04-16 18:37:56,-9.145341,38.734247
477 - Alameda da Universidade / Faculdade de Direito,9,15,2022-04-16,18:37:59.,2022-04-16 18:37:59,-9.15671,38.75264
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,0,12,2022-04-16,18:37:59.,2022-04-16 18:37:59,-9.09781,"38.793 """
481 - Campo Grande / Museu da Cidade,5,15,2022-04-16,18:37:59.,2022-04-16 18:37:59,-9.156169,38.758207
480 - Faculdade de Ciências,16,9,2022-04-16,18:37:58.,2022-04-16 18:37:58,-9.15503,38.75587
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,5,9,2022-04-16,18:38:00.,2022-04-16 18:38:00,-9.150085,38.746836
223 - Praça do Rossio,5,16,2022-04-16,18:38:01.,2022-04-16 18:38:01,-9.138952,38.713112
304 - Avenida da Liberdade / São Jorge,1,15,2022-04-16,18:38:02.,2022-04-16 18:38:02,-9.14637,38.72026
108 - Rua do Bojador,2,12,2022-04-16,18:37:58.,2022-04-16 18:37:58,-9.09235,38.774289]
308 - Marquês de Pombal,0,11,2022-04-16,18:38:03.,2022-04-16 18:38:03,-9.14969,38.7246 
