desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
428 - Av. República / Avenida Barbosa Du Bocage,8,4,2022-03-15,10:33:45.,2022-03-15 10:33:45,-9.14684,38.74047
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,3,17,2022-03-15,10:33:45.,2022-03-15 10:33:45,-9.141741,38.751481
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,13,4,2022-03-15,10:33:46.,2022-03-15 10:33:46,-9.111745,38.769665
106 - Jardim Garcia da Orta,8,6,2022-03-15,10:33:46.,2022-03-15 10:33:46,-9.092506,38.769459
308 - Marquês de Pombal,10,1,2022-03-15,10:33:44.,2022-03-15 10:33:44,-9.14969,38.7246 
220 - Rua do Comercio,6,14,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.137125,38.70878]
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,4,6,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.15425,38.73432
427 - Av. República / Av. Visconde Valmor,8,4,2022-03-15,10:33:46.,2022-03-15 10:33:46,-9.14617,38.73812
550 - Rua Fernando Curado Ribeiro / Alameda das Li,13,7,2022-03-15,10:33:46.,2022-03-15 10:33:46,-9.156487,38.760871
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,6,6,2022-03-15,10:33:47.,2022-03-15 10:33:47,-9.09781,"38.793 """
113 - Alameda dos Oceanos/ Passeio do Levante,1,13,2022-03-15,10:33:47.,2022-03-15 10:33:47,-9.09825,38.78414
110 - Rua de Moscavide,3,15,2022-03-15,10:33:48.,2022-03-15 10:33:48,-9.097068,38.778466
554 - Alameda das Linhas de Torres / Rua Ladislau,5,22,2022-03-15,10:33:48.,2022-03-15 10:33:48,-9.158298,38.768683
486 - Rua Hermano Neves / Rua José Escada,1,13,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.16985,38.75954
226 - Rua dos Fanqueiros,6,11,2022-03-15,10:33:50.,2022-03-15 10:33:50,-9.136456,38.711888
223 - Praça do Rossio,7,14,2022-03-15,10:33:50.,2022-03-15 10:33:50,-9.138952,38.713112
137 - Rua Cidade de Bissau {entrada SPACIO},2,31,2022-03-15,10:33:51.,2022-03-15 10:33:51,-9.114505,38.762829
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,2,17,2022-03-15,10:33:51.,2022-03-15 10:33:51,-9.151,"38.735 ""ty"
301 - Avenida da Liberdade / Restauradores,17,5,2022-03-15,10:33:51.,2022-03-15 10:33:51,-9.14242,38.71702
431 - Rua do Arco Cego / Av. Magalhães Lima,9,5,2022-03-15,10:33:53.,2022-03-15 10:33:53,-9.14199,38.73937
426 - Av. Elias Garcia / Av. 5 de Outubro,6,8,2022-03-15,10:33:53.,2022-03-15 10:33:53,-9.14793,38.739046]
205 - Av. Brasília / Cordoaria,2,8,2022-03-15,10:33:54.,2022-03-15 10:33:54,-9.188,"38.697 ""ty"
314 - Rua Marques da Silva / Rua António Pedro,1,11,2022-03-15,10:33:54.,2022-03-15 10:33:54,-9.135675,38.729657
410 - Rua da Mesquita / Universidade Nova de Lisboa,38,2,2022-03-15,10:33:55.,2022-03-15 10:33:55,-9.16015,38.73492
218 - Cais do Sodré,6,16,2022-03-15,10:33:55.,2022-03-15 10:33:55,-9.14471,38.70617
416 - Av. República / Avenida Duque de Ávila,12,4,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.14553,38.735304]
101 - Alameda dos Oceanos / Rua dos Argonautas,1,15,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.096804,38.756161
134 - Praça Cidade do Luso,0,20,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.116342,38.765588
366 - Palacio da justiça,0,30,2022-03-15,10:33:46.,2022-03-15 10:33:46,-9.156435,38.731134
135 - Avenida Cidade de Lourenço Marques / Vale do,0,20,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.118689,38.764067
487 - Rua Professor João Barreira,2,12,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.17096,38.76136
309 - Rua da Palma,1,9,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.13577,38.71901
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,0,16,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.17849,38.76026
304 - Avenida da Liberdade / São Jorge,13,3,2022-03-15,10:33:47.,2022-03-15 10:33:47,-9.14637,38.72026
551 - Rua Francisco Stromp / Alameda das Linhas de,4,16,2022-03-15,10:33:48.,2022-03-15 10:33:48,-9.157235,38.762584
214 - Largo de Santos,16,8,2022-03-15,10:33:50.,2022-03-15 10:33:50,-9.15424,38.70673
315 - Rua Passos Manuel/ Jardim Constantino,6,14,2022-03-15,10:33:53.,2022-03-15 10:33:53,-9.136968,38.731264
139 - Rua Cidade de Bissau {Metro Olivais},5,20,2022-03-15,10:33:51.,2022-03-15 10:33:51,-9.111596,38.76134]
219 - Praça do Município,12,10,2022-03-15,10:33:47.,2022-03-15 10:33:47,-9.13951,38.70797
221-Rua do Crucifixo/Rua São Nicolau,5,10,2022-03-15,10:33:54.,2022-03-15 10:33:54,-9.138828,38.710191
313 - Rua Frei Francisco Foreiro / Rua de Arroios,3,11,2022-03-15,10:33:54.,2022-03-15 10:33:54,-9.135956,38.728049
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,3,17,2022-03-15,10:33:54.,2022-03-15 10:33:54,-9.14329,38.74081
456 - Entrecampos / Av. das Forças Armadas,11,30,2022-03-15,10:33:55.,2022-03-15 10:33:55,-9.14872,38.74877
407 - Praça Duque de Saldanha,2,15,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.14446,38.73434
305 - Avenida da Liberdade / Rua Barata Salgueiro,14,2,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.147,"38.72228 """
471 - Rua Lopes de Mendonça / EB São João de Brito,6,4,2022-03-15,10:33:44.,2022-03-15 10:33:44,-9.137337,38.756487
421 - Alameda D. Afonso Henriques,1,19,2022-03-15,10:33:45.,2022-03-15 10:33:45,-9.13416,38.73736
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,10,0,2022-03-15,10:33:45.,2022-03-15 10:33:45,-9.152295,38.737911
453 - Av. Roma / Av. EUA,0,14,2022-03-15,10:33:44.,2022-03-15 10:33:44,-9.14207,38.74873
403 - Av. Fontes Pereira de Melo,14,6,2022-03-15,10:33:48.,2022-03-15 10:33:48,-9.146522,38.731698
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,2,8,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.136681,38.747751
307 - Marquês de Pombal,29,4,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.149334,38.724954
480 - Faculdade de Ciências,24,1,2022-03-15,10:33:49.,2022-03-15 10:33:49,-9.15503,38.75587
477 - Alameda da Universidade / Faculdade de Direito,23,1,2022-03-15,10:33:50.,2022-03-15 10:33:50,-9.15671,38.75264
433 - Av. Paris / Av. Almirante Reis,3,11,2022-03-15,10:33:51.,2022-03-15 10:33:51,-9.13409,38.74095
215 - Av. 24 de Julho,10,7,2022-03-15,10:33:53.,2022-03-15 10:33:53,-9.14949,38.70662
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,5,9,2022-03-15,10:33:54.,2022-03-15 10:33:54,-9.150085,38.746836
479 - Rua Professor Oliveira Marques,13,1,2022-03-15,10:33:55.,2022-03-15 10:33:55,-9.15724,38.75491
478 - Alameda da Universidade / Faculdade de Letras,23,9,2022-03-15,10:33:55.,2022-03-15 10:33:55,-9.15717,38.75359
408 - Praça Duque de Saldanha,3,7,2022-03-15,10:33:44.,2022-03-15 10:33:44,-9.144117,38.733749
103 - Jardim da Água,6,14,2022-03-15,10:33:44.,2022-03-15 10:33:44,-9.095019,38.761218
555 - Alameda das Linhas de Torres,1,32,2022-03-15,10:33:44.,2022-03-15 10:33:44,-9.160248,38.770657
473 - Av. do Brasil / Av. de Roma,4,10,2022-03-15,10:33:45.,2022-03-15 10:33:45,-9.14697,38.75643
306 - Avenida da Liberdade / Rua Alexandre Herculano,16,0,2022-03-15,10:33:47.,2022-03-15 10:33:47,-9.14854,38.72281
109 - Alameda dos Oceanos / Rua Ilha dos Amores,1,13,2022-03-15,10:33:48.,2022-03-15 10:33:48,-9.094672,38.777589
415 - Av. Duque de Ávila / Av. Conde Valbom,1,19,2022-03-15,10:33:44.,2022-03-15 10:33:44,-9.148443,38.735188
104 - Gare do Oriente,15,25,2022-03-15,10:33:42.,2022-03-15 10:33:42,-9.097322,38.766716
417 - Av. Duque de Ávila / Jardim Arco Do Cego,14,9,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.142703,38.735352
472 - Rua Marquês Soveral / ES Padre António Vieira,10,4,2022-03-15,10:33:43.,2022-03-15 10:33:43,-9.13608,38.75784
