desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
221-Rua do Crucifixo/Rua São Nicolau,6,9,2022-03-27,19:37:30.,2022-03-27 19:37:30,-9.138828,38.710191
480 - Faculdade de Ciências,10,15,2022-03-27,19:37:30.,2022-03-27 19:37:30,-9.15503,38.75587
107 - Rotunda dos Vice-Reis,5,9,2022-03-27,19:37:30.,2022-03-27 19:37:30,-9.095416,38.774505
108 - Rua do Bojador,13,1,2022-03-27,19:37:30.,2022-03-27 19:37:30,-9.09235,38.774289]
114 - Via do Oriente,6,4,2022-03-27,19:37:31.,2022-03-27 19:37:31,-9.09974,38.78836
223 - Praça do Rossio,8,13,2022-03-27,19:37:31.,2022-03-27 19:37:31,-9.138952,38.713112
361 - Amoreiras Shopping Center,0,0,2022-03-27,19:37:25.,2022-03-27 19:37:25,-9.161044,38.723876
232 - Avenida da Índia / Centro de Arqueologia de Lisboa,0,0,2022-03-27,19:37:26.,2022-03-27 19:37:26,-9.212149,38.694155
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,6,8,2022-03-27,19:37:30.,2022-03-27 19:37:30,-9.150085,38.746836
471 - Rua Lopes de Mendonça / EB São João de Brito,1,9,2022-03-27,19:37:30.,2022-03-27 19:37:30,-9.137337,38.756487
420 - Av. Rovisco Pais / Av. Manuel da Maia,7,19,2022-03-27,19:37:32.,2022-03-27 19:37:32,-9.13672,38.73617
137 - Rua Cidade de Bissau {entrada SPACIO},10,23,2022-03-27,19:37:32.,2022-03-27 19:37:32,-9.114505,38.762829
462 - Campo Grande / Biblioteca Nacional,7,22,2022-03-27,19:37:26.,2022-03-27 19:37:26,-9.15031,38.75027
313 - Rua Frei Francisco Foreiro / Rua de Arroios,0,14,2022-03-27,19:37:26.,2022-03-27 19:37:26,-9.135956,38.728049
132 - Avenida de Berlim / Rua Cidade de Cabinda,4,21,2022-03-27,19:37:33.,2022-03-27 19:37:33,-9.11255,38.76829
304 - Avenida da Liberdade / São Jorge,4,12,2022-03-27,19:37:33.,2022-03-27 19:37:33,-9.14637,38.72026
101 - Alameda dos Oceanos / Rua dos Argonautas,15,1,2022-03-27,19:37:27.,2022-03-27 19:37:27,-9.096804,38.756161
416 - Av. República / Avenida Duque de Ávila,11,5,2022-03-27,19:37:29.,2022-03-27 19:37:29,-9.14553,38.735304]
139 - Rua Cidade de Bissau {Metro Olivais},8,17,2022-03-27,19:37:34.,2022-03-27 19:37:34,-9.111596,38.76134]
310 - Rua Pina Manique / Largo do Intendente ,0,17,2022-03-27,19:37:35.,2022-03-27 19:37:35,-9.134847,38.720733
552 - Alameda das Linhas de Torres / Hospital Puli,6,6,2022-03-27,19:37:36.,2022-03-27 19:37:36,-9.157335,38.766075
220 - Rua do Comercio,8,12,2022-03-27,19:37:36.,2022-03-27 19:37:36,-9.137125,38.70878]
555 - Alameda das Linhas de Torres,19,14,2022-03-27,19:37:37.,2022-03-27 19:37:37,-9.160248,38.770657
105 - CC Vasco da Gama,7,33,2022-03-27,19:37:38.,2022-03-27 19:37:38,-9.096222,38.768548
362 - Avenida Eng. Duarte Pacheco,0,0,2022-03-27,19:37:25.,2022-03-27 19:37:25,-9.159469,38.72437]
113 - Alameda dos Oceanos/ Passeio do Levante,13,1,2022-03-27,19:37:35.,2022-03-27 19:37:35,-9.09825,38.78414
478 - Alameda da Universidade / Faculdade de Letras,4,28,2022-03-27,19:37:35.,2022-03-27 19:37:35,-9.15717,38.75359
419 - Av. António José de Almeida / Instituto Superior Técnico,5,20,2022-03-27,19:37:35.,2022-03-27 19:37:35,-9.13956,38.73811
214 - Largo de Santos,4,20,2022-03-27,19:37:27.,2022-03-27 19:37:27,-9.15424,38.70673
406 - Praça Duque de Saldanha,5,12,2022-03-27,19:37:28.,2022-03-27 19:37:28,-9.145341,38.734247
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,3,17,2022-03-27,19:37:29.,2022-03-27 19:37:29,-9.14329,38.74081
305 - Avenida da Liberdade / Rua Barata Salgueiro,7,9,2022-03-27,19:37:33.,2022-03-27 19:37:33,-9.147,"38.72228 """
226 - Rua dos Fanqueiros,5,12,2022-03-27,19:37:32.,2022-03-27 19:37:32,-9.136456,38.711888
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,2,13,2022-03-27,19:37:32.,2022-03-27 19:37:32,-9.13749,38.75176
131 - Avenida de Berlim / Praça Baden Powell,7,14,2022-03-27,19:37:36.,2022-03-27 19:37:36,-9.110767,38.768137
222 - Praça da Figueira,13,17,2022-03-27,19:37:37.,2022-03-27 19:37:37,-9.13828,38.71383
551 - Rua Francisco Stromp / Alameda das Linhas de,4,16,2022-03-27,19:37:38.,2022-03-27 19:37:38,-9.157235,38.762584
428 - Av. República / Avenida Barbosa Du Bocage,2,10,2022-03-27,19:37:28.,2022-03-27 19:37:28,-9.14684,38.74047
457 - Rua Aboim Ascensão,5,5,2022-03-27,19:37:29.,2022-03-27 19:37:29,-9.14722,38.74975
301 - Avenida da Liberdade / Restauradores,11,11,2022-03-27,19:37:29.,2022-03-27 19:37:29,-9.14242,38.71702
103 - Jardim da Água,14,6,2022-03-27,19:37:27.,2022-03-27 19:37:27,-9.095019,38.761218
463 - Campo Grande / Av. da Igreja,3,7,2022-03-27,19:37:27.,2022-03-27 19:37:27,-9.14951,38.75243
