desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
408 - Praça Duque de Saldanha,6,4,2022-02-28,07:48:58.,2022-02-28 07:48:58,-9.144117,38.733749
485 - Rua Tomás da Fonseca / Rua António Albino Machado,8,2,2022-02-28,07:48:58.,2022-02-28 07:48:58,-9.17,"38.756 ""typ"
554 - Alameda das Linhas de Torres / Rua Ladislau,13,14,2022-02-28,07:48:58.,2022-02-28 07:48:58,-9.158298,38.768683
417 - Av. Duque de Ávila / Jardim Arco Do Cego,9,14,2022-02-28,07:48:55.,2022-02-28 07:48:55,-9.142703,38.735352
474 - Av. do Brasil / Av. Rio de Janeiro,7,9,2022-02-28,07:48:56.,2022-02-28 07:48:56,-9.1409,38.75832 
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,7,3,2022-02-28,07:48:56.,2022-02-28 07:48:56,-9.152295,38.737911
105 - CC Vasco da Gama,14,26,2022-02-28,07:48:57.,2022-02-28 07:48:57,-9.096222,38.768548
403 - Av. Fontes Pereira de Melo,5,15,2022-02-28,07:48:57.,2022-02-28 07:48:57,-9.146522,38.731698
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,2,14,2022-02-28,07:48:57.,2022-02-28 07:48:57,-9.1546,38.73448 
443 - Av. de Roma / Fórum Lisboa,4,10,2022-02-28,07:49:00.,2022-02-28 07:49:00,-9.13866,38.74351
450 - Rua Alfredo Cortês,5,5,2022-02-28,07:49:00.,2022-02-28 07:49:00,-9.14399,38.74626
442 - Campo Pequeno,7,9,2022-02-28,07:49:00.,2022-02-28 07:49:00,-9.14523,38.743371]
433 - Av. Paris / Av. Almirante Reis,3,11,2022-02-28,07:49:01.,2022-02-28 07:49:01,-9.13409,38.74095
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,4,16,2022-02-28,07:49:05.,2022-02-28 07:49:05,-9.12769,38.71035
315 - Rua Passos Manuel/ Jardim Constantino,6,14,2022-02-28,07:49:05.,2022-02-28 07:49:05,-9.136968,38.731264
137 - Rua Cidade de Bissau {entrada SPACIO},16,17,2022-02-28,07:49:05.,2022-02-28 07:49:05,-9.114505,38.762829
473 - Av. do Brasil / Av. de Roma,6,8,2022-02-28,07:49:04.,2022-02-28 07:49:04,-9.14697,38.75643
555 - Alameda das Linhas de Torres,16,17,2022-02-28,07:49:06.,2022-02-28 07:49:06,-9.160248,38.770657
135 - Avenida Cidade de Lourenço Marques / Vale do,15,5,2022-02-28,07:49:03.,2022-02-28 07:49:03,-9.118689,38.764067
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,9,1,2022-02-28,07:49:02.,2022-02-28 07:49:02,-9.136681,38.747751
131 - Avenida de Berlim / Praça Baden Powell,5,16,2022-02-28,07:49:02.,2022-02-28 07:49:02,-9.110767,38.768137
478 - Alameda da Universidade / Faculdade de Letras,16,16,2022-02-28,07:48:56.,2022-02-28 07:48:56,-9.15717,38.75359
308 - Marquês de Pombal,2,9,2022-02-28,07:48:56.,2022-02-28 07:48:56,-9.14969,38.7246 
427 - Av. República / Av. Visconde Valmor,7,5,2022-02-28,07:48:58.,2022-02-28 07:48:58,-9.14617,38.73812
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,8,12,2022-02-28,07:48:59.,2022-02-28 07:48:59,-9.14329,38.74081
221-Rua do Crucifixo/Rua São Nicolau,4,11,2022-02-28,07:48:54.,2022-02-28 07:48:54,-9.138828,38.710191
415 - Av. Duque de Ávila / Av. Conde Valbom,18,2,2022-02-28,07:48:59.,2022-02-28 07:48:59,-9.148443,38.735188
112 - Alameda dos Oceanos / Passeio das Garças,12,2,2022-02-28,07:48:59.,2022-02-28 07:48:59,-9.09622,38.78069
108 - Rua do Bojador,1,13,2022-02-28,07:48:59.,2022-02-28 07:48:59,-9.09235,38.774289]
456 - Entrecampos / Av. das Forças Armadas,31,10,2022-02-28,07:49:01.,2022-02-28 07:49:01,-9.14872,38.74877
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,4,10,2022-02-28,07:49:02.,2022-02-28 07:49:02,-9.150085,38.746836
476 - Av. Professor Gama Pinto / Reitoria,11,12,2022-02-28,07:49:02.,2022-02-28 07:49:02,-9.15885,38.75231
206 - Av. Brasília / Doca de Alcântara,7,15,2022-02-28,07:49:00.,2022-02-28 07:49:00,-9.17502,38.70141
223 - Praça do Rossio,13,8,2022-02-28,07:49:03.,2022-02-28 07:49:03,-9.138952,38.713112
550 - Rua Fernando Curado Ribeiro / Alameda das Li,1,19,2022-02-28,07:49:04.,2022-02-28 07:49:04,-9.156487,38.760871
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,6,14,2022-02-28,07:49:02.,2022-02-28 07:49:02,-9.141741,38.751481
488 - Rua Fernando Namora / Rua António Quadros,13,7,2022-02-28,07:49:07.,2022-02-28 07:49:07,-9.17526,38.76014
304 - Avenida da Liberdade / São Jorge,4,12,2022-02-28,07:49:07.,2022-02-28 07:49:07,-9.14637,38.72026
464 - Av. da Igreja / Rua Afonso Lopes Vieira,13,1,2022-02-28,07:49:03.,2022-02-28 07:49:03,-9.148427,38.75165]
556 - Alamedas das Linhas de Torres / Estrada da T,3,8,2022-02-28,07:49:03.,2022-02-28 07:49:03,-9.161462,38.773489
552 - Alameda das Linhas de Torres / Hospital Puli,11,1,2022-02-28,07:49:04.,2022-02-28 07:49:04,-9.157335,38.766075
208 - Cais das Pombas,10,12,2022-02-28,07:49:04.,2022-02-28 07:49:04,-9.14373,38.70523
486 - Rua Hermano Neves / Rua José Escada,13,1,2022-02-28,07:49:04.,2022-02-28 07:49:04,-9.16985,38.75954
446 - Av. República / Interface Entrecampos ,29,11,2022-02-28,07:49:01.,2022-02-28 07:49:01,-9.14773,38.74456
461 - Rua Professora Teresa Ambrósio,21,11,2022-02-28,07:49:01.,2022-02-28 07:49:01,-9.155564,38.749141
487 - Rua Professor João Barreira,11,3,2022-02-28,07:49:05.,2022-02-28 07:49:05,-9.17096,38.76136
457 - Rua Aboim Ascensão,4,6,2022-02-28,07:49:02.,2022-02-28 07:49:02,-9.14722,38.74975
480 - Faculdade de Ciências,7,18,2022-02-28,07:48:57.,2022-02-28 07:48:57,-9.15503,38.75587
107 - Rotunda dos Vice-Reis,1,13,2022-02-28,07:48:58.,2022-02-28 07:48:58,-9.095416,38.774505
104 - Gare do Oriente,18,22,2022-02-28,07:48:56.,2022-02-28 07:48:56,-9.097322,38.766716
203 - Padrão dos Descobrimentos,7,15,2022-02-28,07:48:55.,2022-02-28 07:48:55,-9.20633,38.6935 
102 - Porta do Mar,4,10,2022-02-28,07:48:55.,2022-02-28 07:48:55,-9.096439,38.759156
428 - Av. República / Avenida Barbosa Du Bocage,3,9,2022-02-28,07:48:58.,2022-02-28 07:48:58,-9.14684,38.74047
