desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
308 - Marquês de Pombal,0,11,2022-04-12,17:45:04.,2022-04-12 17:45:04,-9.14969,38.7246 
453 - Av. Roma / Av. EUA,4,10,2022-04-12,17:45:05.,2022-04-12 17:45:05,-9.14207,38.74873
446 - Av. República / Interface Entrecampos ,15,25,2022-04-12,17:45:00.,2022-04-12 17:45:00,-9.14773,38.74456
301 - Avenida da Liberdade / Restauradores,8,14,2022-04-12,17:45:00.,2022-04-12 17:45:00,-9.14242,38.71702
480 - Faculdade de Ciências,7,18,2022-04-12,17:45:01.,2022-04-12 17:45:01,-9.15503,38.75587
415 - Av. Duque de Ávila / Av. Conde Valbom,4,16,2022-04-12,17:45:04.,2022-04-12 17:45:04,-9.148443,38.735188
417 - Av. Duque de Ávila / Jardim Arco Do Cego,5,18,2022-04-12,17:45:04.,2022-04-12 17:45:04,-9.142703,38.735352
464 - Av. da Igreja / Rua Afonso Lopes Vieira,7,7,2022-04-12,17:44:59.,2022-04-12 17:44:59,-9.148427,38.75165]
431 - Rua do Arco Cego / Av. Magalhães Lima,2,12,2022-04-12,17:45:03.,2022-04-12 17:45:03,-9.14199,38.73937
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,1,18,2022-04-12,17:45:01.,2022-04-12 17:45:01,-9.151,"38.735 ""ty"
421 - Alameda D. Afonso Henriques,3,17,2022-04-12,17:45:02.,2022-04-12 17:45:02,-9.13416,38.73736
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,12,8,2022-04-12,17:45:05.,2022-04-12 17:45:05,-9.141741,38.751481
487 - Rua Professor João Barreira,8,6,2022-04-12,17:45:06.,2022-04-12 17:45:06,-9.17096,38.76136
553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,0,12,2022-04-12,17:44:57.,2022-04-12 17:44:57,-9.15535,38.767114]
365 - Rua Castilho / Rua Marquês da Fronteira,0,30,2022-04-12,17:44:57.,2022-04-12 17:44:57,-9.157531,38.729724
463 - Campo Grande / Av. da Igreja,3,7,2022-04-12,17:44:57.,2022-04-12 17:44:57,-9.14951,38.75243
225 - Martim Moniz,2,14,2022-04-12,17:45:07.,2022-04-12 17:45:07,-9.13694,38.71526
550 - Rua Fernando Curado Ribeiro / Alameda das Li,5,15,2022-04-12,17:45:08.,2022-04-12 17:45:08,-9.156487,38.760871
555 - Alameda das Linhas de Torres,7,26,2022-04-12,17:45:09.,2022-04-12 17:45:09,-9.160248,38.770657
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,2,14,2022-04-12,17:45:09.,2022-04-12 17:45:09,-9.14742,38.72894
222 - Praça da Figueira,23,7,2022-04-12,17:45:10.,2022-04-12 17:45:10,-9.13828,38.71383
104 - Gare do Oriente,10,30,2022-04-12,17:45:11.,2022-04-12 17:45:11,-9.097322,38.766716
461 - Rua Professora Teresa Ambrósio,5,27,2022-04-12,17:45:11.,2022-04-12 17:45:11,-9.155564,38.749141
508 - Estação de Comboios de Benfica,0,25,2022-04-12,17:44:58.,2022-04-12 17:44:58,-9.200039,38.74473]
474 - Av. do Brasil / Av. Rio de Janeiro,3,13,2022-04-12,17:44:58.,2022-04-12 17:44:58,-9.1409,38.75832 
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,4,10,2022-04-12,17:45:03.,2022-04-12 17:45:03,-9.150085,38.746836
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,8,4,2022-04-12,17:45:01.,2022-04-12 17:45:01,-9.09781,"38.793 """
