desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
432 - Praça de Londres,9,1,2022-02-22,23:20:01.,2022-02-22 23:20:01,-9.1377,"38.7407 """
450 - Rua Alfredo Cortês,10,0,2022-02-22,23:20:01.,2022-02-22 23:20:01,-9.14399,38.74626
443 - Av. de Roma / Fórum Lisboa,5,9,2022-02-22,23:20:01.,2022-02-22 23:20:01,-9.13866,38.74351
110 - Rua de Moscavide,15,3,2022-02-22,23:20:01.,2022-02-22 23:20:01,-9.097068,38.778466
483 - Rua Professor Francisco Lucas Pires ,13,3,2022-02-22,23:20:07.,2022-02-22 23:20:07,-9.16405,38.75939
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,7,10,2022-02-22,23:20:05.,2022-02-22 23:20:05,-9.111745,38.769665
477 - Alameda da Universidade / Faculdade de Direito,1,23,2022-02-22,23:20:04.,2022-02-22 23:20:04,-9.15671,38.75264
479 - Rua Professor Oliveira Marques,0,14,2022-02-22,23:20:06.,2022-02-22 23:20:06,-9.15724,38.75491
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,8,12,2022-02-22,23:20:03.,2022-02-22 23:20:03,-9.141741,38.751481
468 - Largo Frei Heitor Pinto,10,11,2022-02-22,23:20:03.,2022-02-22 23:20:03,-9.13827,38.75482
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,4,10,2022-02-22,23:20:02.,2022-02-22 23:20:02,-9.150085,38.746836
456 - Entrecampos / Av. das Forças Armadas,14,27,2022-02-22,23:20:02.,2022-02-22 23:20:02,-9.14872,38.74877
406 - Praça Duque de Saldanha,2,15,2022-02-22,23:19:59.,2022-02-22 23:19:59,-9.145341,38.734247
428 - Av. República / Avenida Barbosa Du Bocage,0,12,2022-02-22,23:19:59.,2022-02-22 23:19:59,-9.14684,38.74047
151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,0,24,2022-02-22,23:19:56.,2022-02-22 23:19:56,-9.108728,38.770434
308 - Marquês de Pombal,1,10,2022-02-22,23:19:58.,2022-02-22 23:19:58,-9.14969,38.7246 
304 - Avenida da Liberdade / São Jorge,5,11,2022-02-22,23:20:08.,2022-02-22 23:20:08,-9.14637,38.72026
101 - Alameda dos Oceanos / Rua dos Argonautas,11,5,2022-02-22,23:19:56.,2022-02-22 23:19:56,-9.096804,38.756161
417 - Av. Duque de Ávila / Jardim Arco Do Cego,3,20,2022-02-22,23:19:56.,2022-02-22 23:19:56,-9.142703,38.735352
221-Rua do Crucifixo/Rua São Nicolau,0,15,2022-02-22,23:19:56.,2022-02-22 23:19:56,-9.138828,38.710191
313 - Rua Frei Francisco Foreiro / Rua de Arroios,14,0,2022-02-22,23:19:56.,2022-02-22 23:19:56,-9.135956,38.728049
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,2,17,2022-02-22,23:20:00.,2022-02-22 23:20:00,-9.151,"38.735 ""ty"
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,4,6,2022-02-22,23:20:00.,2022-02-22 23:20:00,-9.15425,38.73432
416 - Av. República / Avenida Duque de Ávila,2,14,2022-02-22,23:20:00.,2022-02-22 23:20:00,-9.14553,38.735304]
442 - Campo Pequeno,9,7,2022-02-22,23:20:00.,2022-02-22 23:20:00,-9.14523,38.743371]
