id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
130,130,130 - Avenida Berlim / Rua Américo Jesus Fernandes,A,2,20,0.1,active,2022-03-03 15:36:09,"-9.106858, 38.767761, -9.106858, 38.767761",15,2022-03-03,-9.106858,38.767761
151,151,151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,A,24,24,1.0,active,2022-03-03 15:36:11,"-9.108728, 38.770434, -9.108728, 38.770434",15,2022-03-03,-9.108728,38.770434
221,221,221-Rua do Crucifixo/Rua São Nicolau,A,1,15,0.07,active,2022-03-03 15:36:13,"-9.138828, 38.710191, -9.138828, 38.710191",15,2022-03-03,-9.138828,38.710191
101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,8,16,0.5,active,2022-03-03 15:36:05,"-9.096804, 38.756161, -9.096804, 38.756161",15,2022-03-03,-9.096804,38.756161
203,203,203 - Padrão dos Descobrimentos,A,8,22,0.36,active,2022-03-03 15:36:11,"-9.20633, 38.6935, -9.20633, 38.6935",15,2022-03-03,-9.20633,38.6935
102,102,102 - Porta do Mar,B,10,14,0.71,active,2022-03-03 15:36:06,"-9.096439, 38.759156, -9.096439, 38.759156",15,2022-03-03,-9.096439,38.759156
309,309,309 - Rua da Palma,B,5,10,0.5,active,2022-03-03 15:36:16,"-9.13577, 38.71901, -9.13577, 38.71901",15,2022-03-03,-9.13577,38.71901
313,313,313 - Rua Frei Francisco Foreiro / Rua de Arroios,A,7,14,0.5,active,2022-03-03 15:36:16,"-9.135956, 38.728049, -9.135956, 38.728049",15,2022-03-03,-9.135956,38.728049
417,417,417 - Av. Duque de Ávila / Jardim Arco Do Cego,A,10,23,0.43,active,2022-03-03 15:36:20,"-9.142703, 38.735352, -9.142703, 38.735352",15,2022-03-03,-9.142703,38.735352
421,421,421 - Alameda D. Afonso Henriques,A,5,20,0.25,active,2022-03-03 15:36:20,"-9.13416, 38.73736, -9.13416, 38.73736",15,2022-03-03,-9.13416,38.73736
474,474,474 - Av. do Brasil / Av. Rio de Janeiro,A,4,16,0.25,active,2022-03-03 15:36:27,"-9.1409, 38.75832, -9.1409, 38.75832",15,2022-03-03,-9.1409,38.75832
103,103,103 - Jardim da Água,B,4,20,0.2,active,2022-03-03 15:36:06,"-9.095019, 38.761218, -9.095019, 38.761218",15,2022-03-03,-9.095019,38.761218
307,307,307 - Marquês de Pombal,A,6,33,0.18,active,2022-03-03 15:36:15,"-9.149334, 38.724954, -9.149334, 38.724954",15,2022-03-03,-9.149334,38.724954
311,311,311 - Avenida Almirante Reis Nº14,A,3,11,0.27,active,2022-03-03 15:36:16,"-9.135295, 38.721721, -9.135295, 38.721721",15,2022-03-03,-9.135295,38.721721
316,316,316 - Rua António Pedro / Rua Pascoal de Melo,A,2,14,0.14,active,2022-03-03 15:36:17,"-9.135356, 38.731424, -9.135356, 38.731424",15,2022-03-03,-9.135356,38.731424
419,419,419 - Av. António José de Almeida / Instituto Superior Técnico,B,3,25,0.12,active,2022-03-03 15:36:20,"-9.13956, 38.73811, -9.13956, 38.73811",15,2022-03-03,-9.13956,38.73811
478,478,478 - Alameda da Universidade / Faculdade de Letras,B,11,32,0.34,active,2022-03-03 15:36:28,"-9.15717, 38.75359, -9.15717, 38.75359",15,2022-03-03,-9.15717,38.75359
104,104,104 - Gare do Oriente,A,8,40,0.2,active,2022-03-03 15:36:06,"-9.097322, 38.766716, -9.097322, 38.766716",15,2022-03-03,-9.097322,38.766716
308,308,308 - Marquês de Pombal,A,3,11,0.27,active,2022-03-03 15:36:16,"-9.14969, 38.7246, -9.14969, 38.7246",15,2022-03-03,-9.14969,38.7246
401,401,401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,B,3,16,0.19,active,2022-03-03 15:36:17,"-9.14742, 38.72894, -9.14742, 38.72894",15,2022-03-03,-9.14742,38.72894
423,423,423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,B,8,10,0.8,active,2022-03-03 15:36:20,"-9.152295, 38.737911, -9.152295, 38.737911",15,2022-03-03,-9.152295,38.737911
480,480,480 - Faculdade de Ciências,B,21,25,0.84,active,2022-03-03 15:36:28,"-9.15503, 38.75587, -9.15503, 38.75587",15,2022-03-03,-9.15503,38.75587
105,105,105 - CC Vasco da Gama,A,5,40,0.13,active,2022-03-03 15:36:06,"-9.096222, 38.768548, -9.096222, 38.768548",15,2022-03-03,-9.096222,38.768548
