desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,5,5,2022-03-17,16:29:56.,2022-03-17 16:29:56,-9.15425,38.73432
224 - Martim Moniz,8,14,2022-03-17,16:29:56.,2022-03-17 16:29:56,-9.13651,38.71498
453 - Av. Roma / Av. EUA,1,13,2022-03-17,16:29:57.,2022-03-17 16:29:57,-9.14207,38.74873
478 - Alameda da Universidade / Faculdade de Letras,9,23,2022-03-17,16:29:57.,2022-03-17 16:29:57,-9.15717,38.75359
415 - Av. Duque de Ávila / Av. Conde Valbom,4,16,2022-03-17,16:29:53.,2022-03-17 16:29:53,-9.148443,38.735188
308 - Marquês de Pombal,10,1,2022-03-17,16:29:54.,2022-03-17 16:29:54,-9.14969,38.7246 
477 - Alameda da Universidade / Faculdade de Direito,5,19,2022-03-17,16:29:51.,2022-03-17 16:29:51,-9.15671,38.75264
403 - Av. Fontes Pereira de Melo,13,7,2022-03-17,16:29:52.,2022-03-17 16:29:52,-9.146522,38.731698
471 - Rua Lopes de Mendonça / EB São João de Brito,1,9,2022-03-17,16:29:52.,2022-03-17 16:29:52,-9.137337,38.756487
221-Rua do Crucifixo/Rua São Nicolau,6,9,2022-03-17,16:29:51.,2022-03-17 16:29:51,-9.138828,38.710191
109 - Alameda dos Oceanos / Rua Ilha dos Amores,9,5,2022-03-17,16:29:51.,2022-03-17 16:29:51,-9.094672,38.777589
443 - Av. de Roma / Fórum Lisboa,1,13,2022-03-17,16:29:52.,2022-03-17 16:29:52,-9.13866,38.74351
485 - Rua Tomás da Fonseca / Rua António Albino Machado,1,9,2022-03-17,16:29:52.,2022-03-17 16:29:52,-9.17,"38.756 ""typ"
462 - Campo Grande / Biblioteca Nacional,13,16,2022-03-17,16:29:49.,2022-03-17 16:29:49,-9.15031,38.75027
307 - Marquês de Pombal,7,26,2022-03-17,16:29:56.,2022-03-17 16:29:56,-9.149334,38.724954
427 - Av. República / Av. Visconde Valmor,1,11,2022-03-17,16:29:50.,2022-03-17 16:29:50,-9.14617,38.73812
106 - Jardim Garcia da Orta,3,11,2022-03-17,16:29:49.,2022-03-17 16:29:49,-9.092506,38.769459
304 - Avenida da Liberdade / São Jorge,11,5,2022-03-17,16:29:57.,2022-03-17 16:29:57,-9.14637,38.72026
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,13,3,2022-03-17,16:29:58.,2022-03-17 16:29:58,-9.17849,38.76026
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,7,13,2022-03-17,16:29:58.,2022-03-17 16:29:58,-9.12769,38.71035
205 - Av. Brasília / Cordoaria,7,3,2022-03-17,16:29:59.,2022-03-17 16:29:59,-9.188,"38.697 ""ty"
203 - Padrão dos Descobrimentos,17,5,2022-03-17,16:30:01.,2022-03-17 16:30:01,-9.20633,38.6935 
463 - Campo Grande / Av. da Igreja,2,8,2022-03-17,16:29:50.,2022-03-17 16:29:50,-9.14951,38.75243
314 - Rua Marques da Silva / Rua António Pedro,0,12,2022-03-17,16:29:50.,2022-03-17 16:29:50,-9.135675,38.729657
114 - Via do Oriente,1,9,2022-03-17,16:29:53.,2022-03-17 16:29:53,-9.09974,38.78836
