desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,11,5,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.1546,38.73448 
484 - Rua Professor Vieira de Almeida,16,6,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.16658,38.76081
220 - Rua do Comercio,6,14,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.137125,38.70878]
481 - Campo Grande / Museu da Cidade,3,17,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.156169,38.758207
137 - Rua Cidade de Bissau {entrada SPACIO},8,25,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.114505,38.762829
215 - Av. 24 de Julho,5,12,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.14949,38.70662
226 - Rua dos Fanqueiros,14,3,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.136456,38.711888
222 - Praça da Figueira,24,6,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.13828,38.71383
456 - Entrecampos / Av. das Forças Armadas,1,40,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.14872,38.74877
476 - Av. Professor Gama Pinto / Reitoria,0,23,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.15885,38.75231
433 - Av. Paris / Av. Almirante Reis,14,0,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.13409,38.74095
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,12,0,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.09781,"38.793 """
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,5,9,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.150085,38.746836
139 - Rua Cidade de Bissau {Metro Olivais},6,19,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.111596,38.76134]
471 - Rua Lopes de Mendonça / EB São João de Brito,7,3,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.137337,38.756487
214 - Largo de Santos,16,8,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.15424,38.70673
415 - Av. Duque de Ávila / Av. Conde Valbom,4,16,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.148443,38.735188
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,9,1,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.152295,38.737911
478 - Alameda da Universidade / Faculdade de Letras,3,29,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.15717,38.75359
301 - Avenida da Liberdade / Restauradores,6,16,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.14242,38.71702
113 - Alameda dos Oceanos/ Passeio do Levante,11,3,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.09825,38.78414
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,2,18,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.141741,38.751481
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,5,12,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.111745,38.769665
463 - Campo Grande / Av. da Igreja,1,9,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.14951,38.75243
223 - Praça do Rossio,8,13,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.138952,38.713112
109 - Alameda dos Oceanos / Rua Ilha dos Amores,14,0,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.094672,38.777589
205 - Av. Brasília / Cordoaria,7,3,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.188,"38.697 ""ty"
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,8,2,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.136681,38.747751
426 - Av. Elias Garcia / Av. 5 de Outubro,6,8,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.14793,38.739046]
108 - Rua do Bojador,2,12,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.09235,38.774289]
403 - Av. Fontes Pereira de Melo,5,15,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.146522,38.731698
417 - Av. Duque de Ávila / Jardim Arco Do Cego,12,11,2022-02-17,23:18:07.,2022-02-17 23:18:07,-9.142703,38.735352
208 - Cais das Pombas,8,14,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.14373,38.70523
473 - Av. do Brasil / Av. de Roma,2,12,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.14697,38.75643
219 - Praça do Município,12,10,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.13951,38.70797
488 - Rua Fernando Namora / Rua António Quadros,6,14,2022-02-17,23:18:18.,2022-02-17 23:18:18,-9.17526,38.76014
305 - Avenida da Liberdade / Rua Barata Salgueiro,6,10,2022-02-17,23:18:19.,2022-02-17 23:18:19,-9.147,"38.72228 """
483 - Rua Professor Francisco Lucas Pires ,11,5,2022-02-17,23:18:19.,2022-02-17 23:18:19,-9.16405,38.75939
461 - Rua Professora Teresa Ambrósio,1,31,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.155564,38.749141
443 - Av. de Roma / Fórum Lisboa,14,0,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.13866,38.74351
135 - Avenida Cidade de Lourenço Marques / Vale do,15,5,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.118689,38.764067
308 - Marquês de Pombal,0,11,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.14969,38.7246 
105 - CC Vasco da Gama,8,32,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.096222,38.768548
550 - Rua Fernando Curado Ribeiro / Alameda das Li,7,13,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.156487,38.760871
107 - Rotunda dos Vice-Reis,5,9,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.095416,38.774505
416 - Av. República / Avenida Duque de Ávila,0,16,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.14553,38.735304]
110 - Rua de Moscavide,13,5,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.097068,38.778466
464 - Av. da Igreja / Rua Afonso Lopes Vieira,5,9,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.148427,38.75165]
131 - Avenida de Berlim / Praça Baden Powell,9,12,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.110767,38.768137
314 - Rua Marques da Silva / Rua António Pedro,8,4,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.135675,38.729657
315 - Rua Passos Manuel/ Jardim Constantino,19,1,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.136968,38.731264
224 - Martim Moniz,12,10,2022-02-17,23:18:18.,2022-02-17 23:18:18,-9.13651,38.71498
114 - Via do Oriente,9,1,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.09974,38.78836
309 - Rua da Palma,10,0,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.13577,38.71901
103 - Jardim da Água,7,13,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.095019,38.761218
316 - Rua António Pedro / Rua Pascoal de Melo,8,6,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.135356,38.731424
306 - Avenida da Liberdade / Rua Alexandre Herculano,1,15,2022-02-17,23:18:19.,2022-02-17 23:18:19,-9.14854,38.72281
410 - Rua da Mesquita / Universidade Nova de Lisboa,40,0,2022-02-17,23:18:19.,2022-02-17 23:18:19,-9.16015,38.73492
408 - Praça Duque de Saldanha,3,7,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.144117,38.733749
420 - Av. Rovisco Pais / Av. Manuel da Maia,25,1,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.13672,38.73617
432 - Praça de Londres,7,3,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.1377,"38.7407 """
112 - Alameda dos Oceanos / Passeio das Garças,13,1,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.09622,38.78069
453 - Av. Roma / Av. EUA,4,10,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.14207,38.74873
450 - Rua Alfredo Cortês,7,3,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.14399,38.74626
407 - Praça Duque de Saldanha,2,15,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.14446,38.73434
427 - Av. República / Av. Visconde Valmor,5,7,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.14617,38.73812
106 - Jardim Garcia da Orta,1,13,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.092506,38.769459
428 - Av. República / Avenida Barbosa Du Bocage,12,0,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.14684,38.74047
477 - Alameda da Universidade / Faculdade de Direito,1,23,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.15671,38.75264
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,14,1,2022-02-17,23:18:14.,2022-02-17 23:18:14,-9.13749,38.75176
313 - Rua Frei Francisco Foreiro / Rua de Arroios,10,4,2022-02-17,23:18:07.,2022-02-17 23:18:07,-9.135956,38.728049
203 - Padrão dos Descobrimentos,11,11,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.20633,38.6935 
311 - Avenida Almirante Reis Nº14,11,0,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.135295,38.721721
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,14,6,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.12769,38.71035
479 - Rua Professor Oliveira Marques,2,12,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.15724,38.75491
102 - Porta do Mar,14,0,2022-02-17,23:18:07.,2022-02-17 23:18:07,-9.096439,38.759156
421 - Alameda D. Afonso Henriques,19,1,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.13416,38.73736
474 - Av. do Brasil / Av. Rio de Janeiro,6,10,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.1409,38.75832 
101 - Alameda dos Oceanos / Rua dos Argonautas,15,1,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.096804,38.756161
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,9,7,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.14742,38.72894
104 - Gare do Oriente,2,38,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.097322,38.766716
206 - Av. Brasília / Doca de Alcântara,12,10,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.17502,38.70141
446 - Av. República / Interface Entrecampos ,19,21,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.14773,38.74456
134 - Praça Cidade do Luso,8,12,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.116342,38.765588
457 - Rua Aboim Ascensão,3,7,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.14722,38.74975
132 - Avenida de Berlim / Rua Cidade de Cabinda,2,23,2022-02-17,23:18:13.,2022-02-17 23:18:13,-9.11255,38.76829
555 - Alameda das Linhas de Torres,27,6,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.160248,38.770657
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,6,10,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.17849,38.76026
551 - Rua Francisco Stromp / Alameda das Linhas de,19,1,2022-02-17,23:18:18.,2022-02-17 23:18:18,-9.157235,38.762584
462 - Campo Grande / Biblioteca Nacional,14,15,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.15031,38.75027
431 - Rua do Arco Cego / Av. Magalhães Lima,12,2,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.14199,38.73937
485 - Rua Tomás da Fonseca / Rua António Albino Machado,6,4,2022-02-17,23:18:09.,2022-02-17 23:18:09,-9.17,"38.756 ""typ"
216 - Praça D. Luís I,7,14,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.14655,38.70663
225 - Martim Moniz,6,10,2022-02-17,23:18:18.,2022-02-17 23:18:18,-9.13694,38.71526
133 - Rua Cidade de Benguela / Avenida Cidade de L,4,14,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.110724,38.76503]
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,5,14,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.151,"38.735 ""ty"
554 - Alameda das Linhas de Torres / Rua Ladislau,12,15,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.158298,38.768683
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,7,3,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.15425,38.73432
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,18,2,2022-02-17,23:18:11.,2022-02-17 23:18:11,-9.14329,38.74081
486 - Rua Hermano Neves / Rua José Escada,4,10,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.16985,38.75954
472 - Rua Marquês Soveral / ES Padre António Vieira,8,6,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.13608,38.75784
552 - Alameda das Linhas de Torres / Hospital Puli,7,5,2022-02-17,23:18:16.,2022-02-17 23:18:16,-9.157335,38.766075
468 - Largo Frei Heitor Pinto,4,17,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.13827,38.75482
556 - Alamedas das Linhas de Torres / Estrada da T,9,2,2022-02-17,23:18:15.,2022-02-17 23:18:15,-9.161462,38.773489
307 - Marquês de Pombal,2,31,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.149334,38.724954
419 - Av. António José de Almeida / Instituto Superior Técnico,6,19,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.13956,38.73811
442 - Campo Pequeno,13,3,2022-02-17,23:18:12.,2022-02-17 23:18:12,-9.14523,38.743371]
475 - Av. Professor Gama Pinto / Cantina Velha,1,40,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.15907,38.75115
218 - Cais do Sodré,14,8,2022-02-17,23:18:17.,2022-02-17 23:18:17,-9.14471,38.70617
406 - Praça Duque de Saldanha,1,16,2022-02-17,23:18:10.,2022-02-17 23:18:10,-9.145341,38.734247
480 - Faculdade de Ciências,9,16,2022-02-17,23:18:08.,2022-02-17 23:18:08,-9.15503,38.75587
487 - Rua Professor João Barreira,8,6,2022-02-17,23:18:18.,2022-02-17 23:18:18,-9.17096,38.76136
304 - Avenida da Liberdade / São Jorge,7,9,2022-02-17,23:18:18.,2022-02-17 23:18:18,-9.14637,38.72026
