desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
232 - Avenida da Índia / Centro de Arqueologia de Lisboa,0,22,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.212149,38.694155
101 - Alameda dos Oceanos / Rua dos Argonautas,14,2,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.096804,38.756161
408 - Praça Duque de Saldanha,4,6,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.144117,38.733749
314 - Rua Marques da Silva / Rua António Pedro,2,10,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.135675,38.729657
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,8,2,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.136681,38.747751
219 - Praça do Município,4,18,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.13951,38.70797
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,5,10,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.13749,38.75176
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,0,16,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.1546,38.73448 
132 - Avenida de Berlim / Rua Cidade de Cabinda,3,22,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.11255,38.76829
453 - Av. Roma / Av. EUA,2,12,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.14207,38.74873
308 - Marquês de Pombal,3,8,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.14969,38.7246 
473 - Av. do Brasil / Av. de Roma,1,13,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.14697,38.75643
109 - Alameda dos Oceanos / Rua Ilha dos Amores,11,3,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.094672,38.777589
480 - Faculdade de Ciências,4,21,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.15503,38.75587
450 - Rua Alfredo Cortês,10,0,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.14399,38.74626
431 - Rua do Arco Cego / Av. Magalhães Lima,4,10,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.14199,38.73937
415 - Av. Duque de Ávila / Av. Conde Valbom,6,14,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.148443,38.735188
108 - Rua do Bojador,5,9,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.09235,38.774289]
221-Rua do Crucifixo / Rua São Nicolau,7,8,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.138828,38.710191
463 - Campo Grande / Av. da Igreja,3,7,2022-05-16,18:29:28.,2022-05-16 18:29:28,-9.14951,38.75243
365 - Rua Castilho / Rua Marquês da Fronteira,4,26,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.157531,38.729724
518 - Avenida das Nações Unidas / Azinhaga da Torre do Fato,0,20,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.177955,38.764097
362 - Avenida Eng. Duarte Pacheco,3,37,2022-05-16,18:29:28.,2022-05-16 18:29:28,-9.159469,38.72437]
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,3,17,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.14329,38.74081
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,5,5,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.152295,38.737911
310 - Rua Pina Manique / Largo do Intendente ,4,13,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.134847,38.720733
312 - Rua Álvaro Coutinho / Avenida Almirante Reis,8,10,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.134802,38.724869
307 - Marquês de Pombal,5,28,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.149334,38.724954
224 - Martim Moniz,4,18,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.13651,38.71498
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,3,17,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.12769,38.71035
556 - Alamedas das Linhas de Torres / Estrada da T,11,0,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.161462,38.773489
366 - Palacio da justiça,3,27,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.156435,38.731134
433 - Av. Paris / Av. Almirante Reis,3,11,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.13409,38.74095
476 - Av. Professor Gama Pinto / Reitoria,1,22,2022-05-16,18:29:41.,2022-05-16 18:29:41,-9.15885,38.75231
420 - Av. Rovisco Pais / Av. Manuel da Maia,5,21,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.13672,38.73617
226 - Rua dos Fanqueiros,8,5,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.136456,38.711888
484 - Rua Professor Vieira de Almeida,9,13,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.16658,38.76081
446 - Av. República / Interface Entrecampos ,6,34,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.14773,38.74456
471 - Rua Lopes de Mendonça / EB São João de Brito,7,3,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.137337,38.756487
361 - Amoreiras Shopping Center,6,25,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.160992,38.72392]
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,3,16,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.151,"38.735 ""ty"
508 - Estação de Comboios de Benfica,0,25,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.200039,38.74473]
238 - Rua de Cascais / Alcântara Mar,0,36,2022-05-16,18:29:28.,2022-05-16 18:29:28,-9.175234,38.702936
113 - Alameda dos Oceanos/ Passeio do Levante,2,12,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.09825,38.78414
478 - Alameda da Universidade / Faculdade de Letras,2,30,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.15717,38.75359
552 - Alameda das Linhas de Torres / Hospital Puli,4,8,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.157335,38.766075
205 - Av. Brasília / Cordoaria,5,5,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.188,"38.697 ""ty"
456 - Entrecampos / Av. das Forças Armadas,12,29,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.14872,38.74877
104 - Gare do Oriente,7,33,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.097322,38.766716
427 - Av. República / Av. Visconde Valmor,5,7,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.14617,38.73812
481 - Campo Grande / Museu da Cidade,2,18,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.156169,38.758207
403 - Av. Fontes Pereira de Melo,2,18,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.146522,38.731698
477 - Alameda da Universidade / Faculdade de Direito,3,21,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.15671,38.75264
223 - Praça do Rossio,9,12,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.138952,38.713112
485 - Rua Tomás da Fonseca / Rua António Albino Machado,5,5,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.17,"38.756 ""typ"
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,6,8,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.150085,38.746836
107 - Rotunda dos Vice-Reis,5,9,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.095416,38.774505
428 - Av. República / Avenida Barbosa Du Bocage,0,12,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.14684,38.74047
468 - Largo Frei Heitor Pinto,3,18,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.13827,38.75482
134 - Praça Cidade do Luso,6,14,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.116342,38.765588
306 - Avenida da Liberdade / Rua Alexandre Herculano,1,15,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.14854,38.72281
554 - Alameda das Linhas de Torres / Rua Ladislau,13,14,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.158298,38.768683
553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,6,6,2022-05-16,18:29:28.,2022-05-16 18:29:28,-9.15535,38.767114]
102 - Porta do Mar,5,9,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.096439,38.759156
517 - Rua Padre Américo,0,20,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.180437,38.763505
130 - Avenida Berlim / Rua Américo Jesus Fernandes,0,20,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.106858,38.767761
225 - Martim Moniz,6,10,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.13694,38.71526
550 - Rua Fernando Curado Ribeiro / Alameda das Li,1,19,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.156487,38.760871
483 - Rua Professor Francisco Lucas Pires ,5,11,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.16405,38.75939
203 - Padrão dos Descobrimentos,15,7,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.20633,38.6935 
479 - Rua Professor Oliveira Marques,0,14,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.15724,38.75491
309 - Rua da Palma,9,1,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.13577,38.71901
305 - Avenida da Liberdade / Rua Barata Salgueiro,3,13,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.147,"38.72228 """
488 - Rua Fernando Namora / Rua António Quadros,3,17,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.17526,38.76014
137 - Rua Cidade de Bissau {entrada SPACIO},5,28,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.114505,38.762829
410 - Rua da Mesquita / Universidade Nova de Lisboa,25,15,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.16015,38.73492
112 - Alameda dos Oceanos / Passeio das Garças,12,2,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.09622,38.78069
316 - Rua António Pedro / Rua Pascoal de Melo,4,10,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.135356,38.731424
135 - Avenida Cidade de Lourenço Marques / Vale do,17,3,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.118689,38.764067
105 - CC Vasco da Gama,9,31,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.096222,38.768548
432 - Praça de Londres,1,9,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.1377,"38.7407 """
220 - Rua do Comercio,6,14,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.137125,38.70878]
139 - Rua Cidade de Bissau {Metro Olivais},8,17,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.111596,38.76134]
486 - Rua Hermano Neves / Rua José Escada,4,10,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.16985,38.75954
214 - Largo de Santos,3,21,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.15424,38.70673
475 - Av. Professor Gama Pinto / Cantina Velha,25,16,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.15907,38.75115
510 - Largo da Revista Militar / Avenida do Colégio Militar,0,17,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.189058,38.752892
238 - Rua de Cascais / Alcântara Mar,0,0,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.175234,38.702936
103 - Jardim da Água,9,11,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.095019,38.761218
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,7,13,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.141741,38.751481
151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,1,23,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.108728,38.770434
218 - Cais do Sodré,4,18,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.14471,38.70617
462 - Campo Grande / Biblioteca Nacional,8,21,2022-05-16,18:29:28.,2022-05-16 18:29:28,-9.15031,38.75027
110 - Rua de Moscavide,18,0,2022-05-16,18:29:29.,2022-05-16 18:29:29,-9.097068,38.778466
474 - Av. do Brasil / Av. Rio de Janeiro,1,15,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.1409,38.75832 
301 - Avenida da Liberdade / Restauradores,4,18,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.14242,38.71702
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,7,9,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.17849,38.76026
216 - Praça D. Luís I,1,20,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.14655,38.70663
555 - Alameda das Linhas de Torres,8,25,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.160248,38.770657
426 - Av. Elias Garcia / Av. 5 de Outubro,3,11,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.14793,38.739046]
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,4,8,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.09781,"38.793 """
133 - Rua Cidade de Benguela / Avenida Cidade de L,4,14,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.110724,38.76503]
114 - Via do Oriente,3,7,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.09974,38.78836
464 - Av. da Igreja / Rua Afonso Lopes Vieira,2,12,2022-05-16,18:29:30.,2022-05-16 18:29:30,-9.148427,38.75165]
106 - Jardim Garcia da Orta,9,5,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.092506,38.769459
311 - Avenida Almirante Reis Nº14,5,6,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.135295,38.721721
131 - Avenida de Berlim / Praça Baden Powell,1,20,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.110767,38.768137
208 - Cais das Pombas,7,15,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.14373,38.70523
443 - Av. de Roma / Fórum Lisboa,8,6,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.13866,38.74351
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,2,14,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.14742,38.72894
215 - Av. 24 de Julho,0,17,2022-05-16,18:29:39.,2022-05-16 18:29:39,-9.14949,38.70662
222 - Praça da Figueira,12,18,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.13828,38.71383
206 - Av. Brasília / Doca de Alcântara,3,19,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.17502,38.70141
407 - Praça Duque de Saldanha,3,14,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.14446,38.73434
487 - Rua Professor João Barreira,6,8,2022-05-16,18:29:37.,2022-05-16 18:29:37,-9.17096,38.76136
461 - Rua Professora Teresa Ambrósio,2,30,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.155564,38.749141
419 - Av. António José de Almeida / Instituto Superior Técnico,0,25,2022-05-16,18:29:38.,2022-05-16 18:29:38,-9.13956,38.73811
304 - Avenida da Liberdade / São Jorge,1,15,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.14637,38.72026
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,3,7,2022-05-16,18:29:36.,2022-05-16 18:29:36,-9.15425,38.73432
315 - Rua Passos Manuel/ Jardim Constantino,11,9,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.136968,38.731264
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,3,14,2022-05-16,18:29:34.,2022-05-16 18:29:34,-9.111745,38.769665
472 - Rua Marquês Soveral / ES Padre António Vieira,14,0,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.13608,38.75784
417 - Av. Duque de Ávila / Jardim Arco Do Cego,6,17,2022-05-16,18:29:35.,2022-05-16 18:29:35,-9.142703,38.735352
416 - Av. República / Avenida Duque de Ávila,8,8,2022-05-16,18:29:31.,2022-05-16 18:29:31,-9.14553,38.735304]
457 - Rua Aboim Ascensão,1,9,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.14722,38.74975
442 - Campo Pequeno,1,15,2022-05-16,18:29:32.,2022-05-16 18:29:32,-9.14523,38.743371]
421 - Alameda D. Afonso Henriques,10,10,2022-05-16,18:29:33.,2022-05-16 18:29:33,-9.13416,38.73736
406 - Praça Duque de Saldanha,11,6,2022-05-16,18:29:28.,2022-05-16 18:29:28,-9.145341,38.734247
313 - Rua Frei Francisco Foreiro / Rua de Arroios,3,11,2022-05-16,18:29:28.,2022-05-16 18:29:28,-9.135956,38.728049
551 - Rua Francisco Stromp / Alameda das Linhas de,9,11,2022-05-16,18:29:40.,2022-05-16 18:29:40,-9.157235,38.762584
