desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
508 - Estação de Comboios de Benfica,0,25,2022-05-05,21:27:14.,2022-05-05 21:27:14,-9.200039,38.74473]
481 - Campo Grande / Museu da Cidade,0,20,2022-05-05,21:27:17.,2022-05-05 21:27:17,-9.156169,38.758207
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,1,19,2022-05-05,21:27:18.,2022-05-05 21:27:18,-9.14329,38.74081
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,1,18,2022-05-05,21:27:18.,2022-05-05 21:27:18,-9.151,"38.735 ""ty"
485 - Rua Tomás da Fonseca / Rua António Albino Machado,4,6,2022-05-05,21:27:18.,2022-05-05 21:27:18,-9.17,"38.756 ""typ"
487 - Rua Professor João Barreira,6,8,2022-05-05,21:27:21.,2022-05-05 21:27:21,-9.17096,38.76136
130 - Avenida Berlim / Rua Américo Jesus Fernandes,2,18,2022-05-05,21:27:22.,2022-05-05 21:27:22,-9.106858,38.767761
113 - Alameda dos Oceanos/ Passeio do Levante,13,1,2022-05-05,21:27:22.,2022-05-05 21:27:22,-9.09825,38.78414
312 - Rua Álvaro Coutinho / Avenida Almirante Reis,14,4,2022-05-05,21:27:22.,2022-05-05 21:27:22,-9.134802,38.724869
224 - Martim Moniz,21,1,2022-05-05,21:27:22.,2022-05-05 21:27:22,-9.13651,38.71498
443 - Av. de Roma / Fórum Lisboa,2,12,2022-05-05,21:27:19.,2022-05-05 21:27:19,-9.13866,38.74351
431 - Rua do Arco Cego / Av. Magalhães Lima,2,12,2022-05-05,21:27:19.,2022-05-05 21:27:19,-9.14199,38.73937
309 - Rua da Palma,8,2,2022-05-05,21:27:19.,2022-05-05 21:27:19,-9.13577,38.71901
417 - Av. Duque de Ávila / Jardim Arco Do Cego,5,18,2022-05-05,21:27:19.,2022-05-05 21:27:19,-9.142703,38.735352
