desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
508 - Estação de Comboios de Benfica,0,25,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.200039,38.74473]
221-Rua do Crucifixo / Rua São Nicolau,5,10,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.138828,38.710191
517 - Rua Padre Américo,0,20,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.180393,38.763414
442 - Campo Pequeno,10,6,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.14523,38.743371]
480 - Faculdade de Ciências,20,5,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.15503,38.75587
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,1,14,2022-05-01,20:41:26.,2022-05-01 20:41:26,-9.13749,38.75176
417 - Av. Duque de Ávila / Jardim Arco Do Cego,5,18,2022-05-01,20:41:26.,2022-05-01 20:41:26,-9.142703,38.735352
450 - Rua Alfredo Cortês,2,8,2022-05-01,20:41:24.,2022-05-01 20:41:24,-9.14399,38.74626
114 - Via do Oriente,1,9,2022-05-01,20:41:25.,2022-05-01 20:41:25,-9.09974,38.78836
553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,2,10,2022-05-01,20:41:19.,2022-05-01 20:41:19,-9.15535,38.767114]
108 - Rua do Bojador,9,5,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.09235,38.774289]
484 - Rua Professor Vieira de Almeida,12,10,2022-05-01,20:41:27.,2022-05-01 20:41:27,-9.16658,38.76081
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,2,8,2022-05-01,20:41:27.,2022-05-01 20:41:27,-9.15425,38.73432
487 - Rua Professor João Barreira,1,13,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.17096,38.76136
218 - Cais do Sodré,5,17,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.14471,38.70617
312 - Rua Álvaro Coutinho / Avenida Almirante Reis,12,6,2022-05-01,20:41:29.,2022-05-01 20:41:29,-9.134802,38.724869
552 - Alameda das Linhas de Torres / Hospital Puli,3,9,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.157335,38.766075
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,10,10,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.12769,38.71035
483 - Rua Professor Francisco Lucas Pires ,8,8,2022-05-01,20:41:31.,2022-05-01 20:41:31,-9.16405,38.75939
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,7,9,2022-05-01,20:41:31.,2022-05-01 20:41:31,-9.14742,38.72894
476 - Av. Professor Gama Pinto / Reitoria,4,19,2022-05-01,20:41:32.,2022-05-01 20:41:32,-9.15885,38.75231
104 - Gare do Oriente,9,31,2022-05-01,20:41:33.,2022-05-01 20:41:33,-9.097322,38.766716
105 - CC Vasco da Gama,4,36,2022-05-01,20:41:33.,2022-05-01 20:41:33,-9.096222,38.768548
110 - Rua de Moscavide,12,6,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.097068,38.778466
232 - Avenida da Índia / Centro de Arqueologia de Lisboa,0,22,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.212149,38.694155
475 - Av. Professor Gama Pinto / Cantina Velha,4,37,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.15907,38.75115
109 - Alameda dos Oceanos / Rua Ilha dos Amores,10,4,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.094672,38.777589
313 - Rua Frei Francisco Foreiro / Rua de Arroios,1,13,2022-05-01,20:41:21.,2022-05-01 20:41:21,-9.135956,38.728049
408 - Praça Duque de Saldanha,3,7,2022-05-01,20:41:21.,2022-05-01 20:41:21,-9.144117,38.733749
481 - Campo Grande / Museu da Cidade,20,0,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.156169,38.758207
133 - Rua Cidade de Benguela / Avenida Cidade de L,6,12,2022-05-01,20:41:24.,2022-05-01 20:41:24,-9.110724,38.76503]
463 - Campo Grande / Av. da Igreja,1,9,2022-05-01,20:41:19.,2022-05-01 20:41:19,-9.14951,38.75243
456 - Entrecampos / Av. das Forças Armadas,29,12,2022-05-01,20:41:31.,2022-05-01 20:41:31,-9.14872,38.74877
366 - Palacio da justiça,0,30,2022-05-01,20:41:32.,2022-05-01 20:41:32,-9.156435,38.731134
461 - Rua Professora Teresa Ambrósio,14,18,2022-05-01,20:41:32.,2022-05-01 20:41:32,-9.155564,38.749141
468 - Largo Frei Heitor Pinto,12,9,2022-05-01,20:41:24.,2022-05-01 20:41:24,-9.13827,38.75482
485 - Rua Tomás da Fonseca / Rua António Albino Machado,6,4,2022-05-01,20:41:25.,2022-05-01 20:41:25,-9.17,"38.756 ""typ"
135 - Avenida Cidade de Lourenço Marques / Vale do,8,12,2022-05-01,20:41:25.,2022-05-01 20:41:25,-9.118689,38.764067
433 - Av. Paris / Av. Almirante Reis,7,7,2022-05-01,20:41:31.,2022-05-01 20:41:31,-9.13409,38.74095
410 - Rua da Mesquita / Universidade Nova de Lisboa,26,14,2022-05-01,20:41:31.,2022-05-01 20:41:31,-9.16015,38.73492
305 - Avenida da Liberdade / Rua Barata Salgueiro,10,6,2022-05-01,20:41:26.,2022-05-01 20:41:26,-9.147,"38.72228 """
226 - Rua dos Fanqueiros,2,11,2022-05-01,20:41:26.,2022-05-01 20:41:26,-9.136456,38.711888
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,0,16,2022-05-01,20:41:26.,2022-05-01 20:41:26,-9.1546,38.73448 
407 - Praça Duque de Saldanha,7,10,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.14446,38.73434
208 - Cais das Pombas,7,15,2022-05-01,20:41:29.,2022-05-01 20:41:29,-9.14373,38.70523
203 - Padrão dos Descobrimentos,1,21,2022-05-01,20:41:32.,2022-05-01 20:41:32,-9.20633,38.6935 
304 - Avenida da Liberdade / São Jorge,6,10,2022-05-01,20:41:27.,2022-05-01 20:41:27,-9.14637,38.72026
132 - Avenida de Berlim / Rua Cidade de Cabinda,16,9,2022-05-01,20:41:27.,2022-05-01 20:41:27,-9.11255,38.76829
432 - Praça de Londres,9,1,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.1377,"38.7407 """
106 - Jardim Garcia da Orta,3,11,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.092506,38.769459
518 - Avenida das Nações Unidas / Azinhaga da Torre do Fato,0,20,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.177955,38.764097
301 - Avenida da Liberdade / Restauradores,5,17,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.14242,38.71702
427 - Av. República / Av. Visconde Valmor,9,3,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.14617,38.73812
102 - Porta do Mar,5,9,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.096439,38.759156
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,4,6,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.136681,38.747751
416 - Av. República / Avenida Duque de Ávila,0,16,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.14553,38.735304]
431 - Rua do Arco Cego / Av. Magalhães Lima,5,9,2022-05-01,20:41:25.,2022-05-01 20:41:25,-9.14199,38.73937
477 - Alameda da Universidade / Faculdade de Direito,1,23,2022-05-01,20:41:24.,2022-05-01 20:41:24,-9.15671,38.75264
462 - Campo Grande / Biblioteca Nacional,15,14,2022-05-01,20:41:19.,2022-05-01 20:41:19,-9.15031,38.75027
453 - Av. Roma / Av. EUA,4,10,2022-05-01,20:41:27.,2022-05-01 20:41:27,-9.14207,38.74873
139 - Rua Cidade de Bissau {Metro Olivais},7,18,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.111596,38.76134]
473 - Av. do Brasil / Av. de Roma,1,13,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.14697,38.75643
419 - Av. António José de Almeida / Instituto Superior Técnico,11,14,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.13956,38.73811
131 - Avenida de Berlim / Praça Baden Powell,11,10,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.110767,38.768137
478 - Alameda da Universidade / Faculdade de Letras,7,25,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.15717,38.75359
220 - Rua do Comercio,1,19,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.137125,38.70878]
206 - Av. Brasília / Doca de Alcântara,2,20,2022-05-01,20:41:32.,2022-05-01 20:41:32,-9.17502,38.70141
551 - Rua Francisco Stromp / Alameda das Linhas de,8,12,2022-05-01,20:41:32.,2022-05-01 20:41:32,-9.157235,38.762584
238 - Rua de Cascais / Alcântara Mar,0,36,2022-05-01,20:41:20.,2022-05-01 20:41:20,-9.175234,38.702936
406 - Praça Duque de Saldanha,6,11,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.145341,38.734247
101 - Alameda dos Oceanos / Rua dos Argonautas,12,4,2022-05-01,20:41:22.,2022-05-01 20:41:22,-9.096804,38.756161
238 - Rua de Cascais / Alcântara Mar,0,0,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.175234,38.702936
446 - Av. República / Interface Entrecampos ,32,8,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.14773,38.74456
403 - Av. Fontes Pereira de Melo,9,11,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.146522,38.731698
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,6,6,2022-05-01,20:41:23.,2022-05-01 20:41:23,-9.09781,"38.793 """
426 - Av. Elias Garcia / Av. 5 de Outubro,6,8,2022-05-01,20:41:24.,2022-05-01 20:41:24,-9.14793,38.739046]
309 - Rua da Palma,2,8,2022-05-01,20:41:25.,2022-05-01 20:41:25,-9.13577,38.71901
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,14,3,2022-05-01,20:41:25.,2022-05-01 20:41:25,-9.111745,38.769665
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,6,4,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.152295,38.737911
151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,12,12,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.108728,38.770434
486 - Rua Hermano Neves / Rua José Escada,4,10,2022-05-01,20:41:28.,2022-05-01 20:41:28,-9.16985,38.75954
113 - Alameda dos Oceanos/ Passeio do Levante,7,7,2022-05-01,20:41:29.,2022-05-01 20:41:29,-9.09825,38.78414
225 - Martim Moniz,2,14,2022-05-01,20:41:29.,2022-05-01 20:41:29,-9.13694,38.71526
310 - Rua Pina Manique / Largo do Intendente ,8,9,2022-05-01,20:41:29.,2022-05-01 20:41:29,-9.134847,38.720733
224 - Martim Moniz,5,17,2022-05-01,20:41:29.,2022-05-01 20:41:29,-9.13651,38.71498
550 - Rua Fernando Curado Ribeiro / Alameda das Li,17,3,2022-05-01,20:41:30.,2022-05-01 20:41:30,-9.156487,38.760871
