id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
313,313,313 - Rua Frei Francisco Foreiro / Rua de Arroios,A,13,14,0.93,active,2022-03-18 03:37:24,"-9.135956, 38.728049, -9.135956, 38.728049",3,2022-03-18,-9.135956,38.728049
101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,9,16,0.56,active,2022-03-18 03:37:01,"-9.096804, 38.756161, -9.096804, 38.756161",3,2022-03-18,-9.096804,38.756161
102,102,102 - Porta do Mar,B,11,14,0.79,active,2022-03-18 03:37:02,"-9.096439, 38.759156, -9.096439, 38.759156",3,2022-03-18,-9.096439,38.759156
110,110,110 - Rua de Moscavide,B,17,18,0.94,active,2022-03-18 03:37:03,"-9.097068, 38.778466, -9.097068, 38.778466",3,2022-03-18,-9.097068,38.778466
474,474,474 - Av. do Brasil / Av. Rio de Janeiro,A,15,16,0.94,active,2022-03-18 03:37:08,"-9.1409, 38.75832, -9.1409, 38.75832",3,2022-03-18,-9.1409,38.75832
408,408,408 - Praça Duque de Saldanha,A,0,10,0.0,active,2022-03-18 03:37:08,"-9.144117, 38.733749, -9.144117, 38.733749",3,2022-03-18,-9.144117,38.733749
462,462,462 - Campo Grande / Biblioteca Nacional,B,5,29,0.17,active,2022-03-18 03:37:15,"-9.15031, 38.75027, -9.15031, 38.75027",3,2022-03-18,-9.15031,38.75027
475,475,475 - Av. Professor Gama Pinto / Cantina Velha,B,3,41,0.07,active,2022-03-18 03:37:19,"-9.15907, 38.75115, -9.15907, 38.75115",3,2022-03-18,-9.15907,38.75115
314,314,314 - Rua Marques da Silva / Rua António Pedro,A,12,12,1.0,active,2022-03-18 03:37:24,"-9.135675, 38.729657, -9.135675, 38.729657",3,2022-03-18,-9.135675,38.729657
315,315,315 - Rua Passos Manuel/ Jardim Constantino,A,18,20,0.9,active,2022-03-18 03:37:24,"-9.136968, 38.731264, -9.136968, 38.731264",3,2022-03-18,-9.136968,38.731264
103,103,103 - Jardim da Água,B,6,20,0.3,active,2022-03-18 03:37:02,"-9.095019, 38.761218, -9.095019, 38.761218",3,2022-03-18,-9.095019,38.761218
