id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
221,221,221-Rua do Crucifixo/Rua São Nicolau,A,0,15,0.0,repair,2022-02-23 00:20:53,"-9.138828, 38.710191, -9.138828, 38.710191",0,2022-02-23,-9.138828,38.710191
151,151,151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,A,0,24,0.0,repair,2022-02-23 00:20:53,"-9.108728, 38.770434, -9.108728, 38.770434",0,2022-02-23,-9.108728,38.770434
203,203,203 - Padrão dos Descobrimentos,A,11,22,0.5,active,2022-02-23 00:20:46,"-9.20633, 38.6935, -9.20633, 38.6935",0,2022-02-23,-9.20633,38.6935
101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,11,16,0.69,active,2022-02-23 00:20:29,"-9.096804, 38.756161, -9.096804, 38.756161",0,2022-02-23,-9.096804,38.756161
313,313,313 - Rua Frei Francisco Foreiro / Rua de Arroios,A,14,14,1.0,active,2022-02-23 00:20:51,"-9.135956, 38.728049, -9.135956, 38.728049",0,2022-02-23,-9.135956,38.728049
102,102,102 - Porta do Mar,B,11,14,0.79,active,2022-02-23 00:20:29,"-9.096439, 38.759156, -9.096439, 38.759156",0,2022-02-23,-9.096439,38.759156
417,417,417 - Av. Duque de Ávila / Jardim Arco Do Cego,A,6,23,0.26,active,2022-02-23 00:20:33,"-9.142703, 38.735352, -9.142703, 38.735352",0,2022-02-23,-9.142703,38.735352
474,474,474 - Av. do Brasil / Av. Rio de Janeiro,A,13,16,0.81,active,2022-02-23 00:20:35,"-9.1409, 38.75832, -9.1409, 38.75832",0,2022-02-23,-9.1409,38.75832
421,421,421 - Alameda D. Afonso Henriques,A,18,20,0.9,active,2022-02-23 00:20:37,"-9.13416, 38.73736, -9.13416, 38.73736",0,2022-02-23,-9.13416,38.73736
309,309,309 - Rua da Palma,B,6,10,0.6,active,2022-02-23 00:20:38,"-9.13577, 38.71901, -9.13577, 38.71901",0,2022-02-23,-9.13577,38.71901
419,419,419 - Av. António José de Almeida / Instituto Superior Técnico,B,3,25,0.12,active,2022-02-23 00:20:41,"-9.13956, 38.73811, -9.13956, 38.73811",0,2022-02-23,-9.13956,38.73811
478,478,478 - Alameda da Universidade / Faculdade de Letras,B,5,32,0.16,active,2022-02-23 00:20:48,"-9.15717, 38.75359, -9.15717, 38.75359",0,2022-02-23,-9.15717,38.75359
311,311,311 - Avenida Almirante Reis Nº14,A,10,11,0.91,active,2022-02-23 00:20:51,"-9.135295, 38.721721, -9.135295, 38.721721",0,2022-02-23,-9.135295,38.721721
103,103,103 - Jardim da Água,B,17,20,0.85,active,2022-02-23 00:20:29,"-9.095019, 38.761218, -9.095019, 38.761218",0,2022-02-23,-9.095019,38.761218
307,307,307 - Marquês de Pombal,A,2,33,0.06,active,2022-02-23 00:20:40,"-9.149334, 38.724954, -9.149334, 38.724954",0,2022-02-23,-9.149334,38.724954
316,316,316 - Rua António Pedro / Rua Pascoal de Melo,A,11,14,0.79,active,2022-02-23 00:20:52,"-9.135356, 38.731424, -9.135356, 38.731424",0,2022-02-23,-9.135356,38.731424
401,401,401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,B,6,16,0.38,active,2022-02-23 00:20:43,"-9.14742, 38.72894, -9.14742, 38.72894",0,2022-02-23,-9.14742,38.72894
480,480,480 - Faculdade de Ciências,B,1,25,0.04,active,2022-02-23 00:20:47,"-9.15503, 38.75587, -9.15503, 38.75587",0,2022-02-23,-9.15503,38.75587
104,104,104 - Gare do Oriente,A,3,40,0.08,active,2022-02-23 00:20:28,"-9.097322, 38.766716, -9.097322, 38.766716",0,2022-02-23,-9.097322,38.766716
423,423,423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,B,3,10,0.3,active,2022-02-23 00:20:34,"-9.152295, 38.737911, -9.152295, 38.737911",0,2022-02-23,-9.152295,38.737911
308,308,308 - Marquês de Pombal,A,1,11,0.09,active,2022-02-23 00:20:40,"-9.14969, 38.7246, -9.14969, 38.7246",0,2022-02-23,-9.14969,38.7246
105,105,105 - CC Vasco da Gama,A,4,40,0.1,active,2022-02-23 00:20:28,"-9.096222, 38.768548, -9.096222, 38.768548",0,2022-02-23,-9.096222,38.768548
114,114,114 - Via do Oriente,B,9,10,0.9,active,2022-02-23 00:20:40,"-9.09974, 38.78836, -9.09974, 38.78836",0,2022-02-23,-9.09974,38.78836
426,426,426 - Av. Elias Garcia / Av. 5 de Outubro,B,4,14,0.29,active,2022-02-23 00:20:32,"-9.14793, 38.739046, -9.14793, 38.739046",0,2022-02-23,-9.14793,38.739046
406,406,406 - Praça Duque de Saldanha,A,3,17,0.18,active,2022-02-23 00:20:35,"-9.145341, 38.734247, -9.145341, 38.734247",0,2022-02-23,-9.145341,38.734247
403,403,403 - Av. Fontes Pereira de Melo,B,4,20,0.2,active,2022-02-23 00:20:36,"-9.146522, 38.731698, -9.146522, 38.731698",0,2022-02-23,-9.146522,38.731698
484,484,484 - Rua Professor Vieira de Almeida,A,22,22,1.0,active,2022-02-23 00:20:38,"-9.16658, 38.76081, -9.16658, 38.76081",0,2022-02-23,-9.16658,38.76081
106,106,106 - Jardim Garcia da Orta,B,5,14,0.36,active,2022-02-23 00:20:29,"-9.092506, 38.769459, -9.092506, 38.769459",0,2022-02-23,-9.092506,38.769459
216,216,216 - Praça D. Luís I,A,13,21,0.62,active,2022-02-23 00:20:42,"-9.14655, 38.70663, -9.14655, 38.70663",0,2022-02-23,-9.14655,38.70663
412,412,412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,0,16,0.0,active,2022-02-23 00:20:32,"-9.1546, 38.73448, -9.1546, 38.73448",0,2022-02-23,-9.1546,38.73448
407,407,407 - Praça Duque de Saldanha,A,2,17,0.12,active,2022-02-23 00:20:35,"-9.14446, 38.73434, -9.14446, 38.73434",0,2022-02-23,-9.14446,38.73434
427,427,427 - Av. República / Av. Visconde Valmor,A,2,12,0.17,active,2022-02-23 00:20:36,"-9.14617, 38.73812, -9.14617, 38.73812",0,2022-02-23,-9.14617,38.73812
485,485,485 - Rua Tomás da Fonseca / Rua António Albino Machado,B,10,10,1.0,active,2022-02-23 00:20:38,"-9.17, 38.756, -9.17, 38.756",0,2022-02-23,-9.17,38.756
214,214,214 - Largo de Santos,A,3,24,0.13,active,2022-02-23 00:20:43,"-9.15424, 38.70673, -9.15424, 38.70673",0,2022-02-23,-9.15424,38.70673
554,554,554 - Alameda das Linhas de Torres / Rua Ladislau,A,26,27,0.96,active,2022-02-23 00:20:50,"-9.158298, 38.768683, -9.158298, 38.768683",0,2022-02-23,-9.158298,38.768683
107,107,107 - Rotunda dos Vice-Reis,B,14,14,1.0,active,2022-02-23 00:20:29,"-9.095416, 38.774505, -9.095416, 38.774505",0,2022-02-23,-9.095416,38.774505
413,413,413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,1,10,0.1,active,2022-02-23 00:20:34,"-9.15425, 38.73432, -9.15425, 38.73432",0,2022-02-23,-9.15425,38.73432
408,408,408 - Praça Duque de Saldanha,A,1,10,0.1,active,2022-02-23 00:20:35,"-9.144117, 38.733749, -9.144117, 38.733749",0,2022-02-23,-9.144117,38.733749
