id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
551,551,551 - Rua Francisco Stromp / Alameda das Linhas de,A,18,20,0.9,active,2023-05-19 03:35:29,"-9.157235, 38.762584, -9.157235, 38.762584",3,2023-05-19,-9.157235,38.762584
388,388,109 - Alameda dos Oceanos / Rua Ilha dos Amores,B,11,14,0.79,repair,2023-04-20 01:45:45,"-9.094672, 38.777589, -9.094672, 38.777589",1,2023-04-20,-9.094672,38.777589
506,506,506 - Rua Tenente Coronel Reibeiro dos Reis/Rua Conde de Almoster,A,0,17,0.0,repair,2023-05-19 03:35:47,"-9.190028, 38.745181, -9.190028, 38.745181",3,2023-05-19,-9.190028,38.745181
210,210,238 - Rua de Cascais / Alcântara Mar,A,0,0,0.0,repair,2022-04-07 11:56:26,"-9.175234, 38.702936, -9.175234, 38.702936",11,2022-04-07,-9.175234,38.702936
351,351,352 - Rua Tomás da Anunciação / Rua Almeida e S.,,0,17,0.0,repair,2022-07-13 15:45:51,"-9.165653, 38.717313, -9.165653, 38.717313",15,2022-07-13,-9.165653,38.717313
315,315,315 - Rua Passos Manuel/ Jardim Constantino,A,13,20,0.65,active,2023-05-19 03:35:33,"-9.136968, 38.731264, -9.136968, 38.731264",3,2023-05-19,-9.136968,38.731264
130,130,130 - Avenida Berlim / Rua Américo Jesus Fernandes,A,3,20,0.15,active,2023-05-19 03:35:34,"-9.106858, 38.767761, -9.106858, 38.767761",3,2023-05-19,-9.106858,38.767761
553,553,553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,A,10,12,0.83,active,2023-05-19 03:35:35,"-9.15535, 38.767114, -9.15535, 38.767114",3,2023-05-19,-9.15535,38.767114
365,365,365 - Rua Castilho / Rua Marquês da Fronteira,A,2,30,0.07,active,2023-05-19 03:35:36,"-9.157531, 38.729724, -9.157531, 38.729724",3,2023-05-19,-9.157531,38.729724
510,510,510 - Largo da Revista Militar / Avenida do Colégio Militar,A,7,17,0.41,active,2023-05-19 03:35:36,"-9.189058, 38.752892, -9.189058, 38.752892",3,2023-05-19,-9.189058,38.752892
521,521,521 - Rua César de Oliveira / Rua Fernando Lopes Graça,A,14,22,0.64,active,2023-05-19 03:35:43,"-9.17386, 38.769044, -9.17386, 38.769044",3,2023-05-19,-9.17386,38.769044
235,235,235 - Avenida da India / Travessa da Galeotas,A,0,30,0.0,repair,2023-05-19 03:35:46,"-9.192735, 38.697187, -9.192735, 38.697187",3,2023-05-19,-9.192735,38.697187
