desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
477 - Alameda da Universidade / Faculdade de Direito,19,5,2022-03-22,14:15:02.,2022-03-22 14:15:02,-9.15671,38.75264
457 - Rua Aboim Ascensão,3,7,2022-03-22,14:15:02.,2022-03-22 14:15:02,-9.14722,38.74975
226 - Rua dos Fanqueiros,11,6,2022-03-22,14:15:05.,2022-03-22 14:15:05,-9.136456,38.711888
305 - Avenida da Liberdade / Rua Barata Salgueiro,1,15,2022-03-22,14:15:04.,2022-03-22 14:15:04,-9.147,"38.72228 """
442 - Campo Pequeno,2,14,2022-03-22,14:15:01.,2022-03-22 14:15:01,-9.14523,38.743371]
426 - Av. Elias Garcia / Av. 5 de Outubro,13,1,2022-03-22,14:15:03.,2022-03-22 14:15:03,-9.14793,38.739046]
468 - Largo Frei Heitor Pinto,1,20,2022-03-22,14:15:03.,2022-03-22 14:15:03,-9.13827,38.75482
309 - Rua da Palma,2,8,2022-03-22,14:15:03.,2022-03-22 14:15:03,-9.13577,38.71901
101 - Alameda dos Oceanos / Rua dos Argonautas,12,4,2022-03-22,14:14:59.,2022-03-22 14:14:59,-9.096804,38.756161
214 - Largo de Santos,19,5,2022-03-22,14:15:01.,2022-03-22 14:15:01,-9.15424,38.70673
487 - Rua Professor João Barreira,0,14,2022-03-22,14:15:07.,2022-03-22 14:15:07,-9.17096,38.76136
208 - Cais das Pombas,16,6,2022-03-22,14:15:07.,2022-03-22 14:15:07,-9.14373,38.70523
476 - Av. Professor Gama Pinto / Reitoria,6,17,2022-03-22,14:15:10.,2022-03-22 14:15:10,-9.15885,38.75231
428 - Av. República / Avenida Barbosa Du Bocage,9,3,2022-03-22,14:15:02.,2022-03-22 14:15:02,-9.14684,38.74047
221-Rua do Crucifixo/Rua São Nicolau,2,13,2022-03-22,14:15:02.,2022-03-22 14:15:02,-9.138828,38.710191
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,7,13,2022-03-22,14:15:02.,2022-03-22 14:15:02,-9.14329,38.74081
480 - Faculdade de Ciências,17,8,2022-03-22,14:15:02.,2022-03-22 14:15:02,-9.15503,38.75587
