id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
210,210,238 - Rua de Cascais / Alcântara Mar,A,0,0,0.0,repair,2022-04-07 11:56:26,"-9.175234, 38.702936, -9.175234, 38.702936",11,2022-04-07,-9.175234,38.702936
351,351,352 - Rua Tomás da Anunciação / Rua Almeida e S.,,0,17,0.0,repair,2022-07-13 15:45:51,"-9.165653, 38.717313, -9.165653, 38.717313",15,2022-07-13,-9.165653,38.717313
104,104,104 - Gare do Oriente,A,6,40,0.15,active,2023-01-16 21:50:02,"-9.097322, 38.766716, -9.097322, 38.766716",21,2023-01-16,-9.097322,38.766716
403,403,403 - Av. Fontes Pereira de Melo,B,4,20,0.2,active,2023-01-16 21:50:10,"-9.146522, 38.731698, -9.146522, 38.731698",21,2023-01-16,-9.146522,38.731698
105,105,105 - CC Vasco da Gama,A,8,40,0.2,active,2023-01-16 21:50:02,"-9.096222, 38.768548, -9.096222, 38.768548",21,2023-01-16,-9.096222,38.768548
101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,5,16,0.31,active,2023-01-16 21:50:02,"-9.096804, 38.756161, -9.096804, 38.756161",21,2023-01-16,-9.096804,38.756161
103,103,103 - Jardim da Água,B,10,21,0.48,active,2023-01-16 21:50:03,"-9.095019, 38.761218, -9.095019, 38.761218",21,2023-01-16,-9.095019,38.761218
468,468,468 - Largo Frei Heitor Pinto,B,16,21,0.76,active,2023-01-16 21:50:05,"-9.13827, 38.75482, -9.13827, 38.75482",21,2023-01-16,-9.13827,38.75482
450,450,450 - Rua Alfredo Cortês,B,9,10,0.9,active,2023-01-16 21:50:06,"-9.14399, 38.74626, -9.14399, 38.74626",21,2023-01-16,-9.14399,38.74626
484,484,484 - Rua Professor Vieira de Almeida,A,6,22,0.27,active,2023-01-16 21:50:12,"-9.16658, 38.76081, -9.16658, 38.76081",21,2023-01-16,-9.16658,38.76081
304,304,304 - Avenida da Liberdade / São Jorge,A,3,16,0.19,active,2023-01-16 21:50:12,"-9.14637, 38.72026, -9.14637, 38.72026",21,2023-01-16,-9.14637,38.72026
306,306,306 - Avenida da Liberdade / Rua Alexandre Herculano,A,2,16,0.13,active,2023-01-16 21:50:13,"-9.14854, 38.72281, -9.14854, 38.72281",21,2023-01-16,-9.14854,38.72281
212,212,212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,B,10,20,0.5,active,2023-01-16 21:50:16,"-9.12769, 38.71035, -9.12769, 38.71035",21,2023-01-16,-9.12769,38.71035
206,206,206 - Av. Brasília / Doca de Alcântara,A,7,22,0.32,active,2023-01-16 21:50:20,"-9.17502, 38.70141, -9.17502, 38.70141",21,2023-01-16,-9.17502,38.70141
102,102,102 - Porta do Mar,B,7,14,0.5,active,2023-01-16 21:50:02,"-9.096439, 38.759156, -9.096439, 38.759156",21,2023-01-16,-9.096439,38.759156
108,108,108 - Rua do Bojador,B,8,14,0.57,active,2023-01-16 21:50:03,"-9.09235, 38.774289, -9.09235, 38.774289",21,2023-01-16,-9.09235,38.774289
431,431,431 - Rua do Arco Cego / Av. Magalhães Lima,B,5,14,0.36,active,2023-01-16 21:50:05,"-9.14199, 38.73937, -9.14199, 38.73937",21,2023-01-16,-9.14199,38.73937
460,460,460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,B,6,15,0.4,active,2023-01-16 21:50:07,"-9.13749, 38.75176, -9.13749, 38.75176",21,2023-01-16,-9.13749,38.75176
485,485,485 - Rua Tomás da Fonseca / Rua António Albino Machado,B,9,10,0.9,active,2023-01-16 21:50:12,"-9.17, 38.756, -9.17, 38.756",21,2023-01-16,-9.17,38.756
487,487,487 - Rua Professor João Barreira,B,4,14,0.29,active,2023-01-16 21:50:13,"-9.17096, 38.76136, -9.17096, 38.76136",21,2023-01-16,-9.17096,38.76136
