id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
104,104,104 - Gare do Oriente,A,18,40,0.45,active,2022-03-15 11:20:29,"-9.097322, 38.766716, -9.097322, 38.766716",11,2022-03-15,-9.097322,38.766716
105,105,105 - CC Vasco da Gama,A,36,40,0.9,active,2022-03-15 11:20:29,"-9.096222, 38.768548, -9.096222, 38.768548",11,2022-03-15,-9.096222,38.768548
101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,1,16,0.06,active,2022-03-15 11:20:29,"-9.096804, 38.756161, -9.096804, 38.756161",11,2022-03-15,-9.096804,38.756161
472,472,472 - Rua Marquês Soveral / ES Padre António Vieira,B,9,14,0.64,active,2022-03-15 11:20:34,"-9.13608, 38.75784, -9.13608, 38.75784",11,2022-03-15,-9.13608,38.75784
417,417,417 - Av. Duque de Ávila / Jardim Arco Do Cego,A,20,23,0.87,active,2022-03-15 11:20:34,"-9.142703, 38.735352, -9.142703, 38.735352",11,2022-03-15,-9.142703,38.735352
407,407,407 - Praça Duque de Saldanha,A,2,17,0.12,active,2022-03-15 11:20:36,"-9.14446, 38.73434, -9.14446, 38.73434",11,2022-03-15,-9.14446,38.73434
416,416,416 - Av. República / Avenida Duque de Ávila,A,8,16,0.5,active,2022-03-15 11:20:38,"-9.14553, 38.735304, -9.14553, 38.735304",11,2022-03-15,-9.14553,38.735304
305,305,305 - Avenida da Liberdade / Rua Barata Salgueiro,A,14,16,0.88,active,2022-03-15 11:20:40,"-9.147, 38.72228, -9.147, 38.72228",11,2022-03-15,-9.147,38.72228
134,134,134 - Praça Cidade do Luso,,0,20,0.0,active,2022-03-15 11:20:49,"-9.116342, 38.765588, -9.116342, 38.765588",11,2022-03-15,-9.116342,38.765588
220,220,220 - Rua do Comercio,,6,20,0.3,active,2022-03-15 11:20:51,"-9.137125, 38.70878, -9.137125, 38.70878",11,2022-03-15,-9.137125,38.70878
102,102,102 - Porta do Mar,B,6,14,0.43,active,2022-03-15 11:20:30,"-9.096439, 38.759156, -9.096439, 38.759156",11,2022-03-15,-9.096439,38.759156
415,415,415 - Av. Duque de Ávila / Av. Conde Valbom,B,1,20,0.05,active,2022-03-15 11:20:34,"-9.148443, 38.735188, -9.148443, 38.735188",11,2022-03-15,-9.148443,38.735188
413,413,413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,3,10,0.3,active,2022-03-15 11:20:35,"-9.15425, 38.73432, -9.15425, 38.73432",11,2022-03-15,-9.15425,38.73432
408,408,408 - Praça Duque de Saldanha,A,4,10,0.4,active,2022-03-15 11:20:37,"-9.144117, 38.733749, -9.144117, 38.733749",11,2022-03-15,-9.144117,38.733749
471,471,471 - Rua Lopes de Mendonça / EB São João de Brito,B,6,10,0.6,active,2022-03-15 11:20:38,"-9.137337, 38.756487, -9.137337, 38.756487",11,2022-03-15,-9.137337,38.756487
308,308,308 - Marquês de Pombal,A,6,11,0.55,active,2022-03-15 11:20:41,"-9.14969, 38.7246, -9.14969, 38.7246",11,2022-03-15,-9.14969,38.7246
132,132,132 - Avenida de Berlim / Rua Cidade de Cabinda,A,5,25,0.2,active,2022-03-15 11:20:49,"-9.11255, 38.76829, -9.11255, 38.76829",11,2022-03-15,-9.11255,38.76829
555,555,555 - Alameda das Linhas de Torres,A,0,33,0.0,active,2022-03-15 11:20:53,"-9.160248, 38.770657, -9.160248, 38.770657",11,2022-03-15,-9.160248,38.770657
103,103,103 - Jardim da Água,B,8,20,0.4,active,2022-03-15 11:20:30,"-9.095019, 38.761218, -9.095019, 38.761218",11,2022-03-15,-9.095019,38.761218
453,453,453 - Av. Roma / Av. EUA,B,2,14,0.14,active,2022-03-15 11:20:35,"-9.14207, 38.74873, -9.14207, 38.74873",11,2022-03-15,-9.14207,38.74873
473,473,473 - Av. do Brasil / Av. de Roma,B,2,14,0.14,active,2022-03-15 11:20:35,"-9.14697, 38.75643, -9.14697, 38.75643",11,2022-03-15,-9.14697,38.75643
406,406,406 - Praça Duque de Saldanha,A,6,17,0.35,active,2022-03-15 11:20:37,"-9.145341, 38.734247, -9.145341, 38.734247",11,2022-03-15,-9.145341,38.734247
421,421,421 - Alameda D. Afonso Henriques,A,2,20,0.1,active,2022-03-15 11:20:38,"-9.13416, 38.73736, -9.13416, 38.73736",11,2022-03-15,-9.13416,38.73736
443,443,443 - Av. de Roma / Fórum Lisboa,B,1,14,0.07,active,2022-03-15 11:20:41,"-9.13866, 38.74351, -9.13866, 38.74351",11,2022-03-15,-9.13866,38.74351
150,150,150 - Avenida Dr. Francisco Luis Gomes / Go Fit,A,15,17,0.88,active,2022-03-15 11:20:49,"-9.111745, 38.769665, -9.111745, 38.769665",11,2022-03-15,-9.111745,38.769665
106,106,106 - Jardim Garcia da Orta,B,10,14,0.71,active,2022-03-15 11:20:30,"-9.092506, 38.769459, -9.092506, 38.769459",11,2022-03-15,-9.092506,38.769459
459,459,459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,B,3,20,0.15,active,2022-03-15 11:20:36,"-9.141741, 38.751481, -9.141741, 38.751481",11,2022-03-15,-9.141741,38.751481
423,423,423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,B,10,10,1.0,active,2022-03-15 11:20:36,"-9.152295, 38.737911, -9.152295, 38.737911",11,2022-03-15,-9.152295,38.737911
428,428,428 - Av. República / Avenida Barbosa Du Bocage,A,7,12,0.58,active,2022-03-15 11:20:37,"-9.14684, 38.74047, -9.14684, 38.74047",11,2022-03-15,-9.14684,38.74047
484,484,484 - Rua Professor Vieira de Almeida,A,3,22,0.14,active,2022-03-15 11:20:39,"-9.16658, 38.76081, -9.16658, 38.76081",11,2022-03-15,-9.16658,38.76081
114,114,114 - Via do Oriente,B,3,10,0.3,active,2022-03-15 11:20:41,"-9.09974, 38.78836, -9.09974, 38.78836",11,2022-03-15,-9.09974,38.78836
550,550,550 - Rua Fernando Curado Ribeiro / Alameda das Li,A,14,20,0.7,active,2022-03-15 11:20:50,"-9.156487, 38.760871, -9.156487, 38.760871",11,2022-03-15,-9.156487,38.760871
107,107,107 - Rotunda dos Vice-Reis,B,1,14,0.07,active,2022-03-15 11:20:30,"-9.095416, 38.774505, -9.095416, 38.774505",11,2022-03-15,-9.095416,38.774505
474,474,474 - Av. do Brasil / Av. Rio de Janeiro,A,3,16,0.19,active,2022-03-15 11:20:36,"-9.1409, 38.75832, -9.1409, 38.75832",11,2022-03-15,-9.1409,38.75832
463,463,463 - Campo Grande / Av. da Igreja,B,2,10,0.2,active,2022-03-15 11:20:36,"-9.14951, 38.75243, -9.14951, 38.75243",11,2022-03-15,-9.14951,38.75243
