id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,update_date_hour,update_date_only,longitude,latitude
463,463,463 - Campo Grande / Av. da Igreja,B,4,10,0.4,active,2022-04-13 11:55:47,"-9.14951, 38.75243, -9.14951, 38.75243",11,2022-04-13,-9.14951,38.75243
462,462,462 - Campo Grande / Biblioteca Nacional,B,19,29,0.66,active,2022-04-13 11:55:54,"-9.15031, 38.75027, -9.15031, 38.75027",11,2022-04-13,-9.15031,38.75027
553,553,553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,A,0,12,0.0,repair,2022-04-13 11:56:05,"-9.15535, 38.767114, -9.15535, 38.767114",11,2022-04-13,-9.15535,38.767114
361,361,361 - Amoreiras Shopping Center,A,0,31,0.0,repair,2022-04-13 11:56:05,"-9.160992, 38.72392, -9.160992, 38.72392",11,2022-04-13,-9.160992,38.72392
238,238,238 - Rua de Cascais / Alcântara Mar,A,0,36,0.0,repair,2022-04-13 11:56:05,"-9.175234, 38.702936, -9.175234, 38.702936",11,2022-04-13,-9.175234,38.702936
406,406,406 - Praça Duque de Saldanha,A,13,17,0.76,active,2022-04-13 11:55:47,"-9.145341, 38.734247, -9.145341, 38.734247",11,2022-04-13,-9.145341,38.734247
475,475,475 - Av. Professor Gama Pinto / Cantina Velha,B,17,41,0.41,active,2022-04-13 11:55:58,"-9.15907, 38.75115, -9.15907, 38.75115",11,2022-04-13,-9.15907,38.75115
362,362,362 - Avenida Eng. Duarte Pacheco,A,0,40,0.0,repair,2022-04-13 11:56:05,"-9.159469, 38.72437, -9.159469, 38.72437",11,2022-04-13,-9.159469,38.72437
313,313,313 - Rua Frei Francisco Foreiro / Rua de Arroios,A,3,14,0.21,active,2022-04-13 11:56:03,"-9.135956, 38.728049, -9.135956, 38.728049",11,2022-04-13,-9.135956,38.728049
365,365,365 - Rua Castilho / Rua Marquês da Fronteira,A,1,30,0.03,active,2022-04-13 11:56:04,"-9.157531, 38.729724, -9.157531, 38.729724",11,2022-04-13,-9.157531,38.729724
