desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
215 - Av. 24 de Julho,4,13,2022-03-26,16:37:07.,2022-03-26 16:37:07,-9.14949,38.70662
222 - Praça da Figueira,18,12,2022-03-26,16:37:07.,2022-03-26 16:37:07,-9.13828,38.71383
410 - Rua da Mesquita / Universidade Nova de Lisboa,10,30,2022-03-26,16:37:07.,2022-03-26 16:37:07,-9.16015,38.73492
105 - CC Vasco da Gama,17,23,2022-03-26,16:37:08.,2022-03-26 16:37:08,-9.096222,38.768548
104 - Gare do Oriente,32,8,2022-03-26,16:37:09.,2022-03-26 16:37:09,-9.097322,38.766716
433 - Av. Paris / Av. Almirante Reis,1,13,2022-03-26,16:37:07.,2022-03-26 16:37:07,-9.13409,38.74095
487 - Rua Professor João Barreira,7,7,2022-03-26,16:57:04.,2022-03-26 16:57:04,-9.17096,38.76136
307 - Marquês de Pombal,17,16,2022-03-26,16:57:04.,2022-03-26 16:57:04,-9.149334,38.724954
232 - Avenida da Índia / Centro de Arqueologia de Lisboa,0,0,2022-03-26,16:56:56.,2022-03-26 16:56:56,-9.212149,38.694155
108 - Rua do Bojador,2,12,2022-03-26,16:56:57.,2022-03-26 16:56:57,-9.09235,38.774289]
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,3,7,2022-03-26,16:56:58.,2022-03-26 16:56:58,-9.136681,38.747751
226 - Rua dos Fanqueiros,12,5,2022-03-26,16:57:02.,2022-03-26 16:57:02,-9.136456,38.711888
137 - Rua Cidade de Bissau {entrada SPACIO},16,17,2022-03-26,16:57:02.,2022-03-26 16:57:02,-9.114505,38.762829
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,3,7,2022-03-26,16:57:03.,2022-03-26 16:57:03,-9.15425,38.73432
472 - Rua Marquês Soveral / ES Padre António Vieira,4,10,2022-03-26,16:57:03.,2022-03-26 16:57:03,-9.13608,38.75784
224 - Martim Moniz,16,6,2022-03-26,16:57:05.,2022-03-26 16:57:05,-9.13651,38.71498
