desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
485 - Rua Tomás da Fonseca / Rua António Albino Machado,1,9,2022-03-13,09:13:08.,2022-03-13 09:13:08,-9.17,"38.756 ""typ"
408 - Praça Duque de Saldanha,8,2,2022-03-13,09:13:08.,2022-03-13 09:13:08,-9.144117,38.733749
214 - Largo de Santos,4,20,2022-03-13,09:13:08.,2022-03-13 09:13:08,-9.15424,38.70673
478 - Alameda da Universidade / Faculdade de Letras,12,20,2022-03-13,09:13:06.,2022-03-13 09:13:06,-9.15717,38.75359
426 - Av. Elias Garcia / Av. 5 de Outubro,3,11,2022-03-13,09:13:07.,2022-03-13 09:13:07,-9.14793,38.739046]
108 - Rua do Bojador,8,6,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.09235,38.774289]
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,13,7,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.14329,38.74081
110 - Rua de Moscavide,7,11,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.097068,38.778466
113 - Alameda dos Oceanos/ Passeio do Levante,7,7,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.09825,38.78414
443 - Av. de Roma / Fórum Lisboa,9,5,2022-03-13,09:13:10.,2022-03-13 09:13:10,-9.13866,38.74351
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,6,6,2022-03-13,09:13:10.,2022-03-13 09:13:10,-9.09781,"38.793 """
463 - Campo Grande / Av. da Igreja,8,2,2022-03-13,09:13:11.,2022-03-13 09:13:11,-9.14951,38.75243
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,8,12,2022-03-13,09:13:12.,2022-03-13 09:13:12,-9.141741,38.751481
475 - Av. Professor Gama Pinto / Cantina Velha,24,17,2022-03-13,09:13:15.,2022-03-13 09:13:15,-9.15907,38.75115
224 - Martim Moniz,5,17,2022-03-13,09:13:16.,2022-03-13 09:13:16,-9.13651,38.71498
315 - Rua Passos Manuel/ Jardim Constantino,5,15,2022-03-13,09:13:16.,2022-03-13 09:13:16,-9.136968,38.731264
222 - Praça da Figueira,7,23,2022-03-13,09:13:16.,2022-03-13 09:13:16,-9.13828,38.71383
306 - Avenida da Liberdade / Rua Alexandre Herculano,5,11,2022-03-13,09:13:16.,2022-03-13 09:13:16,-9.14854,38.72281
410 - Rua da Mesquita / Universidade Nova de Lisboa,27,13,2022-03-13,09:13:16.,2022-03-13 09:13:16,-9.16015,38.73492
203 - Padrão dos Descobrimentos,7,15,2022-03-13,09:33:05.,2022-03-13 09:33:05,-9.20633,38.6935 
474 - Av. do Brasil / Av. Rio de Janeiro,15,1,2022-03-13,09:33:05.,2022-03-13 09:33:05,-9.1409,38.75832 
309 - Rua da Palma,3,7,2022-03-13,09:13:05.,2022-03-13 09:13:05,-9.13577,38.71901
103 - Jardim da Água,7,13,2022-03-13,09:13:05.,2022-03-13 09:13:05,-9.095019,38.761218
420 - Av. Rovisco Pais / Av. Manuel da Maia,15,11,2022-03-13,09:13:10.,2022-03-13 09:13:10,-9.13672,38.73617
555 - Alameda das Linhas de Torres,12,21,2022-03-13,09:13:15.,2022-03-13 09:13:15,-9.160248,38.770657
225 - Martim Moniz,7,9,2022-03-13,09:13:15.,2022-03-13 09:13:15,-9.13694,38.71526
472 - Rua Marquês Soveral / ES Padre António Vieira,12,2,2022-03-13,09:13:14.,2022-03-13 09:13:14,-9.13608,38.75784
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,13,6,2022-03-13,09:13:08.,2022-03-13 09:13:08,-9.151,"38.735 ""ty"
416 - Av. República / Avenida Duque de Ávila,5,11,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.14553,38.735304]
431 - Rua do Arco Cego / Av. Magalhães Lima,6,8,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.14199,38.73937
446 - Av. República / Interface Entrecampos ,27,13,2022-03-13,09:13:11.,2022-03-13 09:13:11,-9.14773,38.74456
464 - Av. da Igreja / Rua Afonso Lopes Vieira,10,4,2022-03-13,09:13:12.,2022-03-13 09:13:12,-9.148427,38.75165]
486 - Rua Hermano Neves / Rua José Escada,10,4,2022-03-13,09:13:13.,2022-03-13 09:13:13,-9.16985,38.75954
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,7,9,2022-03-13,09:13:16.,2022-03-13 09:13:16,-9.17849,38.76026
305 - Avenida da Liberdade / Rua Barata Salgueiro,4,12,2022-03-13,09:13:17.,2022-03-13 09:13:17,-9.147,"38.72228 """
151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,5,19,2022-03-13,09:33:05.,2022-03-13 09:33:05,-9.108728,38.770434
130 - Avenida Berlim / Rua Américo Jesus Fernandes,10,10,2022-03-13,09:33:05.,2022-03-13 09:33:05,-9.106858,38.767761
403 - Av. Fontes Pereira de Melo,7,13,2022-03-13,09:13:07.,2022-03-13 09:13:07,-9.146522,38.731698
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,2,14,2022-03-13,09:13:07.,2022-03-13 09:13:07,-9.14742,38.72894
114 - Via do Oriente,6,4,2022-03-13,09:13:07.,2022-03-13 09:13:07,-9.09974,38.78836
427 - Av. República / Av. Visconde Valmor,9,3,2022-03-13,09:13:08.,2022-03-13 09:13:08,-9.14617,38.73812
308 - Marquês de Pombal,5,6,2022-03-13,09:13:06.,2022-03-13 09:13:06,-9.14969,38.7246 
307 - Marquês de Pombal,6,27,2022-03-13,09:13:06.,2022-03-13 09:13:06,-9.149334,38.724954
102 - Porta do Mar,7,7,2022-03-13,09:13:04.,2022-03-13 09:13:04,-9.096439,38.759156
301 - Avenida da Liberdade / Restauradores,3,19,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.14242,38.71702
112 - Alameda dos Oceanos / Passeio das Garças,5,9,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.09622,38.78069
432 - Praça de Londres,4,6,2022-03-13,09:13:09.,2022-03-13 09:13:09,-9.1377,"38.7407 """
131 - Avenida de Berlim / Praça Baden Powell,3,18,2022-03-13,09:13:12.,2022-03-13 09:13:12,-9.110767,38.768137
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,14,1,2022-03-13,09:13:12.,2022-03-13 09:13:12,-9.13749,38.75176
550 - Rua Fernando Curado Ribeiro / Alameda das Li,4,16,2022-03-13,09:13:13.,2022-03-13 09:13:13,-9.156487,38.760871
462 - Campo Grande / Biblioteca Nacional,19,10,2022-03-13,09:13:14.,2022-03-13 09:13:14,-9.15031,38.75027
137 - Rua Cidade de Bissau {entrada SPACIO},14,19,2022-03-13,09:13:14.,2022-03-13 09:13:14,-9.114505,38.762829
221-Rua do Crucifixo/Rua São Nicolau,5,10,2022-03-13,09:33:05.,2022-03-13 09:33:05,-9.138828,38.710191
477 - Alameda da Universidade / Faculdade de Direito,11,13,2022-03-13,09:13:12.,2022-03-13 09:13:12,-9.15671,38.75264
476 - Av. Professor Gama Pinto / Reitoria,16,7,2022-03-13,09:13:12.,2022-03-13 09:13:12,-9.15885,38.75231
132 - Avenida de Berlim / Rua Cidade de Cabinda,11,14,2022-03-13,09:13:13.,2022-03-13 09:13:13,-9.11255,38.76829
484 - Rua Professor Vieira de Almeida,17,5,2022-03-13,09:13:06.,2022-03-13 09:13:06,-9.16658,38.76081
407 - Praça Duque de Saldanha,3,14,2022-03-13,09:13:07.,2022-03-13 09:13:07,-9.14446,38.73434
216 - Praça D. Luís I,2,19,2022-03-13,09:13:07.,2022-03-13 09:13:07,-9.14655,38.70663
433 - Av. Paris / Av. Almirante Reis,9,5,2022-03-13,09:13:10.,2022-03-13 09:13:10,-9.13409,38.74095
461 - Rua Professora Teresa Ambrósio,22,10,2022-03-13,09:13:10.,2022-03-13 09:13:10,-9.155564,38.749141
450 - Rua Alfredo Cortês,7,3,2022-03-13,09:13:11.,2022-03-13 09:13:11,-9.14399,38.74626
