desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,1,11,2022-03-22,15:35:05.,2022-03-22 15:35:05,-9.09781,"38.793 """
442 - Campo Pequeno,9,7,2022-03-22,15:35:05.,2022-03-22 15:35:05,-9.14523,38.743371]
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,13,6,2022-03-22,15:35:05.,2022-03-22 15:35:05,-9.151,"38.735 ""ty"
481 - Campo Grande / Museu da Cidade,9,11,2022-03-22,15:35:05.,2022-03-22 15:35:05,-9.156169,38.758207
426 - Av. Elias Garcia / Av. 5 de Outubro,11,3,2022-03-22,15:35:05.,2022-03-22 15:35:05,-9.14793,38.739046]
421 - Alameda D. Afonso Henriques,8,12,2022-03-22,15:35:05.,2022-03-22 15:35:05,-9.13416,38.73736
313 - Rua Frei Francisco Foreiro / Rua de Arroios,3,11,2022-03-22,15:35:04.,2022-03-22 15:35:04,-9.135956,38.728049
102 - Porta do Mar,11,3,2022-03-22,15:35:02.,2022-03-22 15:35:02,-9.096439,38.759156
415 - Av. Duque de Ávila / Av. Conde Valbom,6,14,2022-03-22,15:35:07.,2022-03-22 15:35:07,-9.148443,38.735188
362 - Avenida Eng. Duarte Pacheco,0,0,2022-03-22,15:35:00.,2022-03-22 15:35:00,-9.159469,38.72437]
219 - Praça do Município,8,14,2022-03-22,15:35:07.,2022-03-22 15:35:07,-9.13951,38.70797
308 - Marquês de Pombal,10,1,2022-03-22,15:35:09.,2022-03-22 15:35:09,-9.14969,38.7246 
554 - Alameda das Linhas de Torres / Rua Ladislau,2,25,2022-03-22,15:35:09.,2022-03-22 15:35:09,-9.158298,38.768683
417 - Av. Duque de Ávila / Jardim Arco Do Cego,7,16,2022-03-22,15:35:09.,2022-03-22 15:35:09,-9.142703,38.735352
473 - Av. do Brasil / Av. de Roma,3,11,2022-03-22,15:35:09.,2022-03-22 15:35:09,-9.14697,38.75643
112 - Alameda dos Oceanos / Passeio das Garças,3,11,2022-03-22,15:35:12.,2022-03-22 15:35:12,-9.09622,38.78069
410 - Rua da Mesquita / Universidade Nova de Lisboa,20,20,2022-03-22,15:35:12.,2022-03-22 15:35:12,-9.16015,38.73492
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,6,10,2022-03-22,15:35:12.,2022-03-22 15:35:12,-9.17849,38.76026
550 - Rua Fernando Curado Ribeiro / Alameda das Li,0,20,2022-03-22,15:35:11.,2022-03-22 15:35:11,-9.156487,38.760871
151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,23,1,2022-03-22,15:35:11.,2022-03-22 15:35:11,-9.108728,38.770434
478 - Alameda da Universidade / Faculdade de Letras,26,6,2022-03-22,15:35:11.,2022-03-22 15:35:11,-9.15717,38.75359
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,1,9,2022-03-22,15:35:09.,2022-03-22 15:35:09,-9.15425,38.73432
555 - Alameda das Linhas de Torres,2,31,2022-03-22,15:35:14.,2022-03-22 15:35:14,-9.160248,38.770657
134 - Praça Cidade do Luso,1,19,2022-03-22,15:35:10.,2022-03-22 15:35:10,-9.116342,38.765588
456 - Entrecampos / Av. das Forças Armadas,26,15,2022-03-22,15:35:16.,2022-03-22 15:35:16,-9.14872,38.74877
366 - Palacio da justiça,0,30,2022-03-22,15:35:17.,2022-03-22 15:35:17,-9.156435,38.731134
433 - Av. Paris / Av. Almirante Reis,14,0,2022-03-22,15:35:17.,2022-03-22 15:35:17,-9.13409,38.74095
215 - Av. 24 de Julho,9,8,2022-03-22,15:35:17.,2022-03-22 15:35:17,-9.14949,38.70662
203 - Padrão dos Descobrimentos,10,12,2022-03-22,15:35:17.,2022-03-22 15:35:17,-9.20633,38.6935 
205 - Av. Brasília / Cordoaria,2,8,2022-03-22,15:35:17.,2022-03-22 15:35:17,-9.188,"38.697 ""ty"
510 - Largo da Revista Militar / Avenida do Colégio Militar,0,0,2022-03-22,15:35:02.,2022-03-22 15:35:02,-9.189058,38.752892
553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa,0,12,2022-03-22,15:35:02.,2022-03-22 15:35:02,-9.15535,38.767114]
408 - Praça Duque de Saldanha,3,7,2022-03-22,15:35:03.,2022-03-22 15:35:03,-9.144117,38.733749
210 - Rua de Cascais / Alcântara Terra,0,0,2022-03-22,15:35:03.,2022-03-22 15:35:03,-9.175234,38.702936
463 - Campo Grande / Av. da Igreja,3,7,2022-03-22,15:35:04.,2022-03-22 15:35:04,-9.14951,38.75243
103 - Jardim da Água,18,2,2022-03-22,15:35:04.,2022-03-22 15:35:04,-9.095019,38.761218
301 - Avenida da Liberdade / Restauradores,7,15,2022-03-22,15:35:04.,2022-03-22 15:35:04,-9.14242,38.71702
137 - Rua Cidade de Bissau {entrada SPACIO},0,33,2022-03-22,15:35:08.,2022-03-22 15:35:08,-9.114505,38.762829
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,6,4,2022-03-22,15:35:09.,2022-03-22 15:35:09,-9.152295,38.737911
453 - Av. Roma / Av. EUA,8,6,2022-03-22,15:35:09.,2022-03-22 15:35:09,-9.14207,38.74873
