desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
109 - Alameda dos Oceanos / Rua Ilha dos Amores,4,10,2022-02-10,17:20:44.,2022-02-10 17:20:44,-9.094672,38.777589
464 - Av. da Igreja / Rua Afonso Lopes Vieira,8,6,2022-02-10,17:20:44.,2022-02-10 17:20:44,-9.148427,38.75165]
479 - Rua Professor Oliveira Marques,11,3,2022-02-10,17:20:44.,2022-02-10 17:20:44,-9.15724,38.75491
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,4,8,2022-02-10,17:20:44.,2022-02-10 17:20:44,-9.09781,"38.793 """
462 - Campo Grande / Biblioteca Nacional,19,10,2022-02-10,17:20:44.,2022-02-10 17:20:44,-9.15031,38.75027
471 - Rua Lopes de Mendonça / EB São João de Brito,0,10,2022-02-10,17:20:45.,2022-02-10 17:20:45,-9.137337,38.756487
131 - Avenida de Berlim / Praça Baden Powell,5,16,2022-02-10,17:20:44.,2022-02-10 17:20:44,-9.110767,38.768137
110 - Rua de Moscavide,2,16,2022-02-10,17:20:41.,2022-02-10 17:20:41,-9.097068,38.778466
222 - Praça da Figueira,8,22,2022-02-10,17:20:46.,2022-02-10 17:20:46,-9.13828,38.71383
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,10,10,2022-02-10,17:20:43.,2022-02-10 17:20:43,-9.141741,38.751481
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,14,2,2022-02-10,17:20:42.,2022-02-10 17:20:42,-9.1546,38.73448 
487 - Rua Professor João Barreira,6,8,2022-02-10,17:20:48.,2022-02-10 17:20:48,-9.17096,38.76136
408 - Praça Duque de Saldanha,4,6,2022-02-10,17:20:49.,2022-02-10 17:20:49,-9.144117,38.733749
453 - Av. Roma / Av. EUA,1,13,2022-02-10,17:20:50.,2022-02-10 17:20:50,-9.14207,38.74873
410 - Rua da Mesquita / Universidade Nova de Lisboa,21,19,2022-02-10,17:20:50.,2022-02-10 17:20:50,-9.16015,38.73492
